Date,Code,AdjClose,Close,ST,FreeFloatA,Industry,TotalShare
2011-03-02,SSE_601116,19.489131638,21.78,0.0,4800.0,商业连锁,41075.9
2011-03-03,SSE_601116,17.645806975,19.72,0.0,4800.0,商业连锁,41075.9
2011-03-04,SSE_601116,16.661507397,18.62,0.0,4800.0,商业连锁,41075.9
2011-03-07,SSE_601116,16.482543837,18.42,0.0,4800.0,商业连锁,41075.9
2011-03-08,SSE_601116,16.357269346,18.28,0.0,4800.0,商业连锁,41075.9
2011-03-09,SSE_601116,16.402010236,18.33,0.0,4800.0,商业连锁,41075.9
2011-03-10,SSE_601116,15.874067735,17.74,0.0,4800.0,商业连锁,41075.9
2011-03-11,SSE_601116,16.554129261,18.5,0.0,4800.0,商业连锁,41075.9
2011-03-14,SSE_601116,16.20515032,18.11,0.0,4800.0,商业连锁,41075.9
2011-03-15,SSE_601116,16.008290404,17.89,0.0,4800.0,商业连锁,41075.9
2011-03-16,SSE_601116,16.035134938,17.92,0.0,4800.0,商业连锁,41075.9
2011-03-17,SSE_601116,15.40876248,17.22,0.0,4800.0,商业连锁,41075.9
2011-03-18,SSE_601116,15.45350337,17.27,0.0,4800.0,商业连锁,41075.9
2011-03-21,SSE_601116,15.211902564,17.0,0.0,4800.0,商业连锁,41075.9
2011-03-22,SSE_601116,14.988198115,16.75,0.0,4800.0,商业连锁,41075.9
2011-03-23,SSE_601116,15.292436166,17.09,0.0,4800.0,商业连锁,41075.9
2011-03-24,SSE_601116,15.158213496,16.94,0.0,4800.0,商业连锁,41075.9
2011-03-25,SSE_601116,15.220850742,17.01,0.0,4800.0,商业连锁,41075.9
2011-03-28,SSE_601116,15.077679895,16.85,0.0,4800.0,商业连锁,41075.9
2011-03-29,SSE_601116,14.782390021,16.52,0.0,4800.0,商业连锁,41075.9
2011-03-30,SSE_601116,14.460255614,16.16,0.0,4800.0,商业连锁,41075.9
2011-03-31,SSE_601116,15.337177056,17.14,0.0,4800.0,商业连锁,41075.9
2011-04-01,SSE_601116,15.328228878,17.13,0.0,4800.0,商业连锁,41075.9
2011-04-06,SSE_601116,14.871871801,16.62,0.0,4800.0,商业连锁,41075.9
2011-04-07,SSE_601116,14.737649131,16.47,0.0,4800.0,商业连锁,41075.9
2011-04-08,SSE_601116,14.845027267,16.59,0.0,4800.0,商业连锁,41075.9
2011-04-11,SSE_601116,14.549737394,16.26,0.0,4800.0,商业连锁,41075.9
2011-04-12,SSE_601116,14.496048326,16.2,0.0,4800.0,商业连锁,41075.9
2011-04-13,SSE_601116,14.692908242,16.42,0.0,4800.0,商业连锁,41075.9
2011-04-14,SSE_601116,14.576581928,16.29,0.0,4800.0,商业连锁,41075.9
2011-04-15,SSE_601116,14.540789216,16.25,0.0,4800.0,商业连锁,41075.9
2011-04-18,SSE_601116,14.576581928,16.29,0.0,4800.0,商业连锁,41075.9
2011-04-19,SSE_601116,14.406566546,16.1,0.0,4800.0,商业连锁,41075.9
2011-04-20,SSE_601116,14.639219174,16.36,0.0,4800.0,商业连锁,41075.9
2011-04-21,SSE_601116,14.594478284,16.31,0.0,4800.0,商业连锁,41075.9
2011-04-22,SSE_601116,14.549737394,16.26,0.0,4800.0,商业连锁,41075.9
2011-04-25,SSE_601116,14.370773834,16.06,0.0,4800.0,商业连锁,41075.9
2011-04-26,SSE_601116,13.780194088,15.4,0.0,4800.0,商业连锁,41075.9
2011-04-27,SSE_601116,13.699660486,15.31,0.0,4800.0,商业连锁,41075.9
2011-04-28,SSE_601116,13.350681545,14.92,0.0,4800.0,商业连锁,41075.9
2011-04-29,SSE_601116,13.395422435,14.97,0.0,4800.0,商业连锁,41075.9
2011-05-03,SSE_601116,13.386474257,14.96,0.0,4800.0,商业连锁,41075.9
2011-05-04,SSE_601116,12.867479934,14.38,0.0,4800.0,商业连锁,41075.9
2011-05-05,SSE_601116,13.028547137,14.56,0.0,4800.0,商业连锁,41075.9
2011-05-06,SSE_601116,12.912220824,14.43,0.0,4800.0,商业连锁,41075.9
2011-05-10,SSE_601116,13.171717985,14.72,0.0,4800.0,商业连锁,41075.9
2011-05-11,SSE_601116,13.091184383,14.63,0.0,4800.0,商业连锁,41075.9
2011-05-12,SSE_601116,12.831687222,14.34,0.0,4800.0,商业连锁,41075.9
2011-05-13,SSE_601116,13.323837011,14.89,0.0,4800.0,商业连锁,41075.9
2011-05-16,SSE_601116,13.207510697,14.76,0.0,4800.0,商业连锁,41075.9
2011-05-17,SSE_601116,13.216458875,14.77,0.0,4800.0,商业连锁,41075.9
2011-05-18,SSE_601116,13.135925273,14.68,0.0,4800.0,商业连锁,41075.9
2011-05-19,SSE_601116,12.97485807,14.5,0.0,4800.0,商业连锁,41075.9
2011-05-20,SSE_601116,12.8406354,14.35,0.0,4800.0,商业连锁,41075.9
2011-05-23,SSE_601116,12.071092094,13.49,0.0,4800.0,商业连锁,41075.9
2011-05-24,SSE_601116,11.874232178,13.27,0.0,4800.0,商业连锁,41075.9
