Date,Code,AdjClose,Close,ST,FreeFloatA,Industry,TotalShare
2015-05-28,SZE_002759,6.8774600973,17.31,0.0,2400.0,家用电器,9600.0
2015-05-29,SZE_002759,7.5648087956,19.04,0.0,2400.0,家用电器,9600.0
2015-06-01,SZE_002759,8.3197004296,20.94,0.0,2400.0,家用电器,9600.0
2015-06-02,SZE_002759,9.1500812271,23.03,0.0,2400.0,家用电器,9600.0
2015-06-03,SZE_002759,10.063897416,25.33,0.0,2400.0,家用电器,9600.0
2015-06-04,SZE_002759,11.069095223,27.86,0.0,2400.0,家用电器,9600.0
2015-06-05,SZE_002759,12.177593991,30.65,0.0,2400.0,家用电器,9600.0
2015-06-08,SZE_002759,13.397339947,33.72,0.0,2400.0,家用电器,9600.0
2015-06-09,SZE_002759,14.736279319,37.09,0.0,2400.0,家用电器,9600.0
2015-06-10,SZE_002759,16.210304562,40.8,0.0,2400.0,家用电器,9600.0
2015-06-11,SZE_002759,17.831335018,44.88,0.0,2400.0,家用电器,9600.0
2015-06-12,SZE_002759,19.615263143,49.37,0.0,2400.0,家用电器,9600.0
2015-06-15,SZE_002759,21.577981391,54.31,0.0,2400.0,家用电器,9600.0
2015-06-16,SZE_002759,23.735382219,59.74,0.0,2400.0,家用电器,9600.0
2015-06-17,SZE_002759,21.871991817,55.05,0.0,2400.0,家用电器,9600.0
2015-06-18,SZE_002759,19.865569316,50.0,0.0,2400.0,家用电器,9600.0
2015-06-19,SZE_002759,17.879012385,45.0,0.0,2400.0,家用电器,9600.0
2015-06-23,SZE_002759,18.363732276,46.22,0.0,2400.0,家用电器,9600.0
2015-06-24,SZE_002759,18.29618934,46.05,0.0,2400.0,家用电器,9600.0
2015-06-25,SZE_002759,16.981088652,42.74,0.0,2400.0,家用电器,9600.0
2015-06-26,SZE_002759,15.284569032,38.47,0.0,2400.0,家用电器,9600.0
2015-06-29,SZE_002759,13.754920195,34.62,0.0,2400.0,家用电器,9600.0
2015-06-30,SZE_002759,14.629005244,36.82,0.0,2400.0,家用电器,9600.0
2015-07-01,SZE_002759,15.217026096,38.3,0.0,2400.0,家用电器,9600.0
2015-07-02,SZE_002759,14.779983571,37.2,0.0,2400.0,家用电器,9600.0
2015-07-03,SZE_002759,14.978639264,37.7,0.0,2400.0,家用电器,9600.0
2015-07-06,SZE_002759,16.170573423,40.7,0.0,2400.0,家用电器,9600.0
2015-07-07,SZE_002759,15.69379976,39.5,0.0,2400.0,家用电器,9600.0
2015-07-08,SZE_002759,14.124419784,35.55,0.0,2400.0,家用电器,9600.0
2015-07-09,SZE_002759,15.538848319,39.11,0.0,2400.0,家用电器,9600.0
2015-07-10,SZE_002759,17.09233584,43.02,0.0,2400.0,家用电器,9600.0
2015-07-13,SZE_002759,18.800774801,47.32,0.0,2400.0,家用电器,9600.0
2015-07-14,SZE_002759,18.355786048,46.2,0.0,2400.0,家用电器,9600.0
2015-07-15,SZE_002759,16.687078226,42.0,0.0,2400.0,家用电器,9600.0
2015-07-16,SZE_002759,16.822164097,42.34,0.0,2400.0,家用电器,9600.0
2015-07-17,SZE_002759,17.283045305,43.5,0.0,2400.0,家用电器,9600.0
2015-07-20,SZE_002759,16.607615948,41.8,0.0,2400.0,家用电器,9600.0
2015-07-21,SZE_002759,17.434023632,43.88,0.0,2400.0,家用电器,9600.0
2015-07-22,SZE_002759,17.509512795,44.07,0.0,2400.0,家用电器,9600.0
2015-07-23,SZE_002759,19.261656009,48.48,0.0,2400.0,家用电器,9600.0
2015-07-24,SZE_002759,19.269602237,48.5,0.0,2400.0,家用电器,9600.0
2015-07-27,SZE_002759,18.045883167,45.42,0.0,2400.0,家用电器,9600.0
2015-07-28,SZE_002759,16.726809364,42.1,0.0,2400.0,家用电器,9600.0
2015-07-29,SZE_002759,18.399490301,46.31,0.0,2400.0,家用电器,9600.0
2015-07-30,SZE_002759,18.272350657,45.99,0.0,2400.0,家用电器,9600.0
2015-07-31,SZE_002759,19.202059301,48.33,0.0,2400.0,家用电器,9600.0
2015-08-03,SZE_002759,20.34234298,51.2,0.0,2400.0,家用电器,9600.0
2015-08-04,SZE_002759,19.46825793,49.0,0.0,2400.0,家用电器,9600.0
2015-08-05,SZE_002759,19.929139138,50.16,0.0,2400.0,家用电器,9600.0
2015-08-06,SZE_002759,18.947780014,47.69,0.0,2400.0,家用电器,9600.0
2015-08-07,SZE_002759,19.937085366,50.18,0.0,2400.0,家用电器,9600.0
2015-08-10,SZE_002759,20.660192089,52.0,0.0,2400.0,家用电器,9600.0
2015-08-11,SZE_002759,21.057503475,53.0,0.0,2400.0,家用电器,9600.0
2015-08-12,SZE_002759,19.885434886,50.05,0.0,2400.0,家用电器,9600.0
2015-08-13,SZE_002759,20.461536396,51.5,0.0,2400.0,家用电器,9600.0
2015-08-14,SZE_002759,21.057503475,53.0,0.0,2400.0,家用电器,9600.0
2015-08-17,SZE_002759,21.79252954,54.85,0.0,2400.0,家用电器,9600.0
2015-08-18,SZE_002759,20.064225009,50.5,0.0,2400.0,家用电器,9600.0
2015-08-19,SZE_002759,21.744852174,54.73,0.0,2400.0,家用电器,9600.0
2015-08-20,SZE_002759,23.918145457,60.2,0.0,2400.0,家用电器,9600.0
2015-08-21,SZE_002759,21.526330911,54.18,0.0,2400.0,家用电器,9600.0
2015-08-24,SZE_002759,19.372903197,48.76,0.0,2400.0,家用电器,9600.0
2015-08-25,SZE_002759,17.437603926,43.79,0.0,2400.0,家用电器,9600.0
2015-08-26,SZE_002759,16.716844321,41.98,0.0,2400.0,家用电器,9600.0
2015-08-27,SZE_002759,17.115054048,42.98,0.0,2400.0,家用电器,9600.0
2015-08-28,SZE_002759,17.401765051,43.7,0.0,2400.0,家用电器,9600.0
2015-08-31,SZE_002759,16.326598789,41.0,0.0,2400.0,家用电器,9600.0
2015-09-01,SZE_002759,15.88856809,39.9,0.0,2400.0,家用电器,9600.0
2015-09-02,SZE_002759,15.872639701,39.86,0.0,2400.0,家用电器,9600.0
2015-09-07,SZE_002759,15.88856809,39.9,0.0,2400.0,家用电器,9600.0
2015-09-08,SZE_002759,16.246956844,40.8,0.0,2400.0,家用电器,9600.0
2015-09-09,SZE_002759,16.378366053,41.13,0.0,2400.0,家用电器,9600.0
2015-09-10,SZE_002759,15.689463227,39.4,0.0,2400.0,家用电器,9600.0
2015-09-11,SZE_002759,14.901007968,37.42,0.0,2400.0,家用电器,9600.0
2015-09-14,SZE_002759,13.411703591,33.68,0.0,2400.0,家用电器,9600.0
2015-09-15,SZE_002759,12.069736812,30.31,0.0,2400.0,家用电器,9600.0
2015-09-16,SZE_002759,12.858192071,32.29,0.0,2400.0,家用电器,9600.0
2015-09-17,SZE_002759,11.779043712,29.58,0.0,2400.0,家用电器,9600.0
2015-09-18,SZE_002759,11.492332709,28.86,0.0,2400.0,家用电器,9600.0
2015-09-21,SZE_002759,11.882578241,29.84,0.0,2400.0,家用电器,9600.0
2015-09-22,SZE_002759,12.029915839,30.21,0.0,2400.0,家用电器,9600.0
2015-09-23,SZE_002759,12.424143469,31.2,0.0,2400.0,家用电器,9600.0
2015-09-24,SZE_002759,12.36441201,31.05,0.0,2400.0,家用电器,9600.0
2015-09-25,SZE_002759,11.325084623,28.44,0.0,2400.0,家用电器,9600.0
2015-09-28,SZE_002759,11.699401766,29.38,0.0,2400.0,家用电器,9600.0
2015-09-29,SZE_002759,11.38879818,28.6,0.0,2400.0,家用电器,9600.0
2015-09-30,SZE_002759,11.9423097,29.99,0.0,2400.0,家用电器,9600.0
