Date,Code,AdjClose,Close,ST,FreeFloatA,Industry,TotalShare
2011-08-18,SSE_601886,12.439572985,26.35,0.0,8800.0,建筑,56000.0
2011-08-19,SSE_601886,12.076063642,25.58,0.0,8800.0,建筑,56000.0
2011-08-22,SSE_601886,12.368759477,26.2,0.0,8800.0,建筑,56000.0
2011-08-23,SSE_601886,12.859733136,27.24,0.0,8800.0,建筑,56000.0
2011-08-24,SSE_601886,12.415968483,26.3,0.0,8800.0,建筑,56000.0
2011-08-25,SSE_601886,13.327102291,28.23,0.0,8800.0,建筑,56000.0
2011-08-26,SSE_601886,13.029685556,27.6,0.0,8800.0,建筑,56000.0
2011-08-29,SSE_601886,13.142987169,27.84,0.0,8800.0,建筑,56000.0
2011-08-30,SSE_601886,12.864454036,27.25,0.0,8800.0,建筑,56000.0
2011-08-31,SSE_601886,12.510386494,26.5,0.0,8800.0,建筑,56000.0
2011-09-01,SSE_601886,12.382922179,26.23,0.0,8800.0,建筑,56000.0
2011-09-02,SSE_601886,12.189365256,25.82,0.0,8800.0,建筑,56000.0
2011-09-05,SSE_601886,11.311277751,23.96,0.0,8800.0,建筑,56000.0
2011-09-06,SSE_601886,10.834466794,22.95,0.0,8800.0,建筑,56000.0
2011-09-07,SSE_601886,11.202697038,23.73,0.0,8800.0,建筑,56000.0
2011-09-08,SSE_601886,10.433190246,22.1,0.0,8800.0,建筑,56000.0
2011-09-09,SSE_601886,10.201866118,21.61,0.0,8800.0,建筑,56000.0
2011-09-13,SSE_601886,10.116889908,21.43,0.0,8800.0,建筑,56000.0
2011-09-14,SSE_601886,10.230191522,21.67,0.0,8800.0,建筑,56000.0
2011-09-16,SSE_601886,10.187703416,21.58,0.0,8800.0,建筑,56000.0
2011-09-19,SSE_601886,9.5645445421,20.26,0.0,8800.0,建筑,56000.0
2011-09-20,SSE_601886,10.13105261,21.46,0.0,8800.0,建筑,56000.0
2011-09-21,SSE_601886,10.55593366,22.36,0.0,8800.0,建筑,56000.0
2011-09-22,SSE_601886,10.329330433,21.88,0.0,8800.0,建筑,56000.0
2011-09-23,SSE_601886,10.688118876,22.64,0.0,8800.0,建筑,56000.0
2011-09-26,SSE_601886,10.669235274,22.6,0.0,8800.0,建筑,56000.0
2011-09-27,SSE_601886,10.461515649,22.16,0.0,8800.0,建筑,56000.0
2011-09-28,SSE_601886,10.239633323,21.69,0.0,8800.0,建筑,56000.0
2011-09-29,SSE_601886,9.8005895703,20.76,0.0,8800.0,建筑,56000.0
2011-09-30,SSE_601886,9.1491052925,19.38,0.0,8800.0,建筑,56000.0
2011-10-10,SSE_601886,8.9791528722,19.02,0.0,8800.0,建筑,56000.0
2011-10-11,SSE_601886,8.8988975626,18.85,0.0,8800.0,建筑,56000.0
2011-10-12,SSE_601886,9.5267773376,20.18,0.0,8800.0,建筑,56000.0
2011-10-13,SSE_601886,9.6259162494,20.39,0.0,8800.0,建筑,56000.0
2011-10-14,SSE_601886,9.63063715,20.4,0.0,8800.0,建筑,56000.0
2011-10-17,SSE_601886,9.8383567748,20.84,0.0,8800.0,建筑,56000.0
2011-10-18,SSE_601886,9.6211953488,20.38,0.0,8800.0,建筑,56000.0
2011-10-19,SSE_601886,9.5078937353,20.14,0.0,8800.0,建筑,56000.0
2011-10-20,SSE_601886,8.5873181254,18.19,0.0,8800.0,建筑,56000.0
2011-10-21,SSE_601886,8.2899013899,17.56,0.0,8800.0,建筑,56000.0
2011-10-24,SSE_601886,8.6250853299,18.27,0.0,8800.0,建筑,56000.0
2011-10-25,SSE_601886,8.7619914463,18.56,0.0,8800.0,建筑,56000.0
2011-10-26,SSE_601886,8.8375258553,18.72,0.0,8800.0,建筑,56000.0
2011-10-27,SSE_601886,8.9413856677,18.94,0.0,8800.0,建筑,56000.0
2011-10-28,SSE_601886,9.0830126846,19.24,0.0,8800.0,建筑,56000.0
2011-10-31,SSE_601886,9.1585470936,19.4,0.0,8800.0,建筑,56000.0
2011-11-01,SSE_601886,8.9697110711,19.0,0.0,8800.0,建筑,56000.0
2011-11-02,SSE_601886,9.2765696077,19.65,0.0,8800.0,建筑,56000.0
2011-11-03,SSE_601886,9.2529651049,19.6,0.0,8800.0,建筑,56000.0
2011-11-04,SSE_601886,9.2010351987,19.49,0.0,8800.0,建筑,56000.0
2011-11-07,SSE_601886,8.9744319716,19.01,0.0,8800.0,建筑,56000.0
2011-11-08,SSE_601886,9.2765696077,19.65,0.0,8800.0,建筑,56000.0
2011-11-09,SSE_601886,9.1915933976,19.47,0.0,8800.0,建筑,56000.0
2011-11-10,SSE_601886,8.851688557,18.75,0.0,8800.0,建筑,56000.0
2011-11-11,SSE_601886,8.8564094575,18.76,0.0,8800.0,建筑,56000.0
2011-11-14,SSE_601886,9.0971753863,19.27,0.0,8800.0,建筑,56000.0
2011-11-15,SSE_601886,9.1963142981,19.48,0.0,8800.0,建筑,56000.0
2011-11-16,SSE_601886,9.2151979004,19.52,0.0,8800.0,建筑,56000.0
2011-11-17,SSE_601886,9.2765696077,19.65,0.0,8800.0,建筑,56000.0
2011-11-18,SSE_601886,8.5731554237,18.16,0.0,11000.0,建筑,56000.0
2011-11-21,SSE_601886,8.1671579752,17.3,0.0,11000.0,建筑,56000.0
2011-11-22,SSE_601886,8.3087849921,17.6,0.0,11000.0,建筑,56000.0
2011-11-23,SSE_601886,8.1199489696,17.2,0.0,11000.0,建筑,56000.0
2011-11-24,SSE_601886,7.9877637538,16.92,0.0,11000.0,建筑,56000.0
2011-11-25,SSE_601886,7.8225322341,16.57,0.0,11000.0,建筑,56000.0
2011-11-28,SSE_601886,7.6620216149,16.23,0.0,11000.0,建筑,56000.0
2011-11-29,SSE_601886,7.8366949358,16.6,0.0,11000.0,建筑,56000.0
2011-11-30,SSE_601886,7.2654659676,15.39,0.0,11000.0,建筑,56000.0
2011-12-01,SSE_601886,7.4212556862,15.72,0.0,11000.0,建筑,56000.0
2011-12-02,SSE_601886,7.9169502453,16.77,0.0,11000.0,建筑,56000.0
2011-12-05,SSE_601886,7.780044129,16.48,0.0,11000.0,建筑,56000.0
2011-12-06,SSE_601886,8.0160891572,16.98,0.0,11000.0,建筑,56000.0
2011-12-07,SSE_601886,8.1105071685,17.18,0.0,11000.0,建筑,56000.0
2011-12-08,SSE_601886,8.8092004519,18.66,0.0,11000.0,建筑,56000.0
2011-12-09,SSE_601886,8.6014808271,18.22,0.0,11000.0,建筑,56000.0
2011-12-12,SSE_601886,8.634527131,18.29,0.0,11000.0,建筑,56000.0
2011-12-13,SSE_601886,8.4315284068,17.86,0.0,11000.0,建筑,56000.0
2011-12-14,SSE_601886,8.1435534724,17.25,0.0,11000.0,建筑,56000.0
2011-12-15,SSE_601886,8.0113682566,16.97,0.0,11000.0,建筑,56000.0
2011-12-16,SSE_601886,7.5487200014,15.99,0.0,11000.0,建筑,56000.0
2011-12-20,SSE_601886,7.5487200014,15.99,0.0,11000.0,建筑,56000.0
2011-12-21,SSE_601886,7.3457212771,15.56,0.0,11000.0,建筑,56000.0
2011-12-22,SSE_601886,8.0821817651,17.12,0.0,11000.0,建筑,56000.0
2011-12-23,SSE_601886,7.9216711459,16.78,0.0,11000.0,建筑,56000.0
2011-12-26,SSE_601886,7.6573007143,16.22,0.0,11000.0,建筑,56000.0
2011-12-27,SSE_601886,7.5251154986,15.94,0.0,11000.0,建筑,56000.0
2011-12-28,SSE_601886,6.7744923089,14.35,0.0,11000.0,建筑,56000.0
2011-12-29,SSE_601886,6.4959591757,13.76,0.0,11000.0,建筑,56000.0
2011-12-30,SSE_601886,6.5903771869,13.96,0.0,11000.0,建筑,56000.0
2012-01-04,SSE_601886,6.2268678435,13.19,0.0,11000.0,建筑,56000.0
2012-01-05,SSE_601886,5.8444748979,12.38,0.0,11000.0,建筑,56000.0
2012-01-06,SSE_601886,6.0144273182,12.74,0.0,11000.0,建筑,56000.0
2012-01-09,SSE_601886,6.3118440537,13.37,0.0,11000.0,建筑,56000.0
2012-01-10,SSE_601886,6.5526099824,13.88,0.0,11000.0,建筑,56000.0
2012-01-11,SSE_601886,6.5290054796,13.83,0.0,11000.0,建筑,56000.0
2012-01-12,SSE_601886,6.6375861926,14.06,0.0,11000.0,建筑,56000.0
2012-01-13,SSE_601886,6.1654961362,13.06,0.0,11000.0,建筑,56000.0
2012-01-16,SSE_601886,5.8491957984,12.39,0.0,11000.0,建筑,56000.0
2012-01-17,SSE_601886,6.264635048,13.27,0.0,11000.0,建筑,56000.0
2012-01-18,SSE_601886,6.0852408266,12.89,0.0,11000.0,建筑,56000.0
2012-01-19,SSE_601886,6.2174260424,13.17,0.0,11000.0,建筑,56000.0
2012-01-20,SSE_601886,6.3779366616,13.51,0.0,11000.0,建筑,56000.0
2012-01-30,SSE_601886,6.2693559486,13.28,0.0,11000.0,建筑,56000.0
2012-01-31,SSE_601886,6.3401694571,13.43,0.0,11000.0,建筑,56000.0
2012-02-01,SSE_601886,6.3307276559,13.41,0.0,11000.0,建筑,56000.0
2012-02-02,SSE_601886,6.4204247667,13.6,0.0,11000.0,建筑,56000.0
2012-02-03,SSE_601886,6.5337263802,13.84,0.0,11000.0,建筑,56000.0
2012-02-06,SSE_601886,6.557330883,13.89,0.0,11000.0,建筑,56000.0
2012-02-07,SSE_601886,6.3637739599,13.48,0.0,11000.0,建筑,56000.0
2012-02-08,SSE_601886,6.7603296072,14.32,0.0,11000.0,建筑,56000.0
2012-02-09,SSE_601886,6.7320042039,14.26,0.0,11000.0,建筑,56000.0
2012-02-10,SSE_601886,6.7980968117,14.4,0.0,11000.0,建筑,56000.0
2012-02-13,SSE_601886,6.816980414,14.44,0.0,11000.0,建筑,56000.0
2012-02-14,SSE_601886,6.7367251044,14.27,0.0,11000.0,建筑,56000.0
2012-02-15,SSE_601886,6.9397238287,14.7,0.0,11000.0,建筑,56000.0
2012-02-16,SSE_601886,6.9066775247,14.63,0.0,11000.0,建筑,56000.0
2012-02-17,SSE_601886,7.0577463428,14.95,0.0,11000.0,建筑,56000.0
2012-02-20,SSE_601886,6.9538865304,14.73,0.0,11000.0,建筑,56000.0
2012-02-21,SSE_601886,7.0058164366,14.84,0.0,11000.0,建筑,56000.0
2012-02-22,SSE_601886,7.1757688568,15.2,0.0,11000.0,建筑,56000.0
2012-02-23,SSE_601886,7.2040942602,15.26,0.0,11000.0,建筑,56000.0
2012-02-24,SSE_601886,7.336279476,15.54,0.0,11000.0,建筑,56000.0
2012-02-27,SSE_601886,7.2371405642,15.33,0.0,11000.0,建筑,56000.0
2012-02-28,SSE_601886,7.1380016523,15.12,0.0,11000.0,建筑,56000.0
2012-02-29,SSE_601886,7.1616061552,15.17,0.0,11000.0,建筑,56000.0
2012-03-01,SSE_601886,7.1710479563,15.19,0.0,11000.0,建筑,56000.0
2012-03-02,SSE_601886,7.3079540726,15.48,0.0,11000.0,建筑,56000.0
2012-03-05,SSE_601886,7.185210658,15.22,0.0,11000.0,建筑,56000.0
2012-03-06,SSE_601886,6.968049232,14.76,0.0,11000.0,建筑,56000.0
2012-03-07,SSE_601886,6.9302820275,14.68,0.0,11000.0,建筑,56000.0
2012-03-08,SSE_601886,7.0341418399,14.9,0.0,11000.0,建筑,56000.0
2012-03-09,SSE_601886,7.2324196636,15.32,0.0,11000.0,建筑,56000.0
2012-03-12,SSE_601886,7.2229778625,15.3,0.0,11000.0,建筑,56000.0
2012-03-13,SSE_601886,7.5345572997,15.96,0.0,11000.0,建筑,56000.0
2012-03-14,SSE_601886,7.0624672433,14.96,0.0,11000.0,建筑,56000.0
2012-03-15,SSE_601886,6.7650505078,14.33,0.0,11000.0,建筑,56000.0
2012-03-16,SSE_601886,6.9019566242,14.62,0.0,11000.0,建筑,56000.0
2012-03-19,SSE_601886,7.1710479563,15.19,0.0,11000.0,建筑,56000.0
2012-03-20,SSE_601886,7.0955135473,15.03,0.0,11000.0,建筑,56000.0
2012-03-21,SSE_601886,7.185210658,15.22,0.0,11000.0,建筑,56000.0
2012-03-22,SSE_601886,7.2890704704,15.44,0.0,11000.0,建筑,56000.0
2012-03-23,SSE_601886,7.2513032659,15.36,0.0,11000.0,建筑,56000.0
2012-03-26,SSE_601886,6.9019566242,14.62,0.0,11000.0,建筑,56000.0
2012-03-27,SSE_601886,6.7036788005,14.2,0.0,11000.0,建筑,56000.0
2012-03-28,SSE_601886,6.3024022526,13.35,0.0,11000.0,建筑,56000.0
2012-03-29,SSE_601886,6.297681352,13.34,0.0,11000.0,建筑,56000.0
2012-03-30,SSE_601886,6.4629128717,13.69,0.0,11000.0,建筑,56000.0
2012-04-05,SSE_601886,6.6187025903,14.02,0.0,11000.0,建筑,56000.0
2012-04-06,SSE_601886,6.6045398886,13.99,0.0,11000.0,建筑,56000.0
2012-04-09,SSE_601886,6.5762144853,13.93,0.0,11000.0,建筑,56000.0
2012-04-10,SSE_601886,6.5667726841,13.91,0.0,11000.0,建筑,56000.0
2012-04-11,SSE_601886,6.6281443915,14.04,0.0,11000.0,建筑,56000.0
2012-04-12,SSE_601886,6.741446005,14.28,0.0,11000.0,建筑,56000.0
2012-04-13,SSE_601886,6.9963746354,14.82,0.0,11000.0,建筑,56000.0
2012-04-17,SSE_601886,7.2796286692,15.42,0.0,11000.0,建筑,56000.0
2012-04-18,SSE_601886,7.36932578,15.61,0.0,11000.0,建筑,56000.0
2012-04-19,SSE_601886,7.6053708081,16.11,0.0,11000.0,建筑,56000.0
2012-04-20,SSE_601886,7.6006499076,16.1,0.0,11000.0,建筑,56000.0
2012-04-23,SSE_601886,7.5251154986,15.94,0.0,11000.0,建筑,56000.0
2012-04-24,SSE_601886,7.5581618025,16.01,0.0,11000.0,建筑,56000.0
2012-04-25,SSE_601886,7.9216711459,16.78,0.0,11000.0,建筑,56000.0
2012-04-26,SSE_601886,7.9122293448,16.76,0.0,11000.0,建筑,56000.0
2012-04-27,SSE_601886,7.8839039414,16.7,0.0,11000.0,建筑,56000.0
2012-05-02,SSE_601886,7.8933457425,16.72,0.0,11000.0,建筑,56000.0
2012-05-03,SSE_601886,7.7847650296,16.49,0.0,11000.0,建筑,56000.0
2012-05-04,SSE_601886,8.0632981628,17.08,0.0,11000.0,建筑,56000.0
2012-05-07,SSE_601886,8.3040640916,17.59,0.0,11000.0,建筑,56000.0
2012-05-08,SSE_601886,8.2379714837,17.45,0.0,11000.0,建筑,56000.0
2012-05-09,SSE_601886,7.9594383504,16.86,0.0,11000.0,建筑,56000.0
2012-05-10,SSE_601886,8.0019264555,16.95,0.0,11000.0,建筑,56000.0
2012-05-11,SSE_601886,8.1624370747,17.29,0.0,11000.0,建筑,56000.0
2012-05-14,SSE_601886,8.4740165119,17.95,0.0,11000.0,建筑,56000.0
2012-05-15,SSE_601886,8.3976310109,17.59,0.0,11000.0,建筑,56000.0
2012-05-16,SSE_601886,8.3642123542,17.52,0.0,11000.0,建筑,56000.0
2012-05-17,SSE_601886,8.0968631009,16.96,0.0,11000.0,建筑,56000.0
2012-05-18,SSE_601886,8.0300257876,16.82,0.0,11000.0,建筑,56000.0
2012-05-21,SSE_601886,8.0157035062,16.79,0.0,11000.0,建筑,56000.0
2012-05-22,SSE_601886,8.1350558514,17.04,0.0,11000.0,建筑,56000.0
2012-05-23,SSE_601886,7.9775107557,16.71,0.0,11000.0,建筑,56000.0
2012-05-24,SSE_601886,7.944092099,16.64,0.0,11000.0,建筑,56000.0
2012-05-25,SSE_601886,7.7244837838,16.18,0.0,11000.0,建筑,56000.0
2012-05-28,SSE_601886,8.0157035062,16.79,0.0,11000.0,建筑,56000.0
2012-05-29,SSE_601886,8.32124551,17.43,0.0,11000.0,建筑,56000.0
2012-05-30,SSE_601886,8.445371949,17.69,0.0,11000.0,建筑,56000.0
2012-05-31,SSE_601886,8.4835646995,17.77,0.0,11000.0,建筑,56000.0
2012-06-01,SSE_601886,8.3976310109,17.59,0.0,11000.0,建筑,56000.0
2012-06-04,SSE_601886,8.3069232285,17.4,0.0,11000.0,建筑,56000.0
