机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,一、营业总收入,其中：营业收入（元）,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,堪探费用,财务费用,资产减值损失,加：公允价值变动净收益,投资收益,其中：对联营企业和合营企业的投资收益,汇兑收益,影响营业利润的其他科目,三、营业利润,加：补贴收入,营业外收入,减：营业外支出,其中：非流动资产处置损失,加：影响利润总额的其他科目,四、利润总额,减：所得税,加：影响净利润的其他科目,五、净利润,归属于母公司所有者的净利润,少数股东损益,六、每股收益：,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,八、综合收益总额,其中：归属于母公司,其中：归属于少数股东,利息收入,已赚保费,手续费及佣金收入,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其中：非流动资产处置利得
929,兰州黄河,2005-04-20,2005-01-01,2005-03-31,2005-03-31,合并本期,定期报告,145564338.61,145564338.61,111209940.18,111209940.18,10112477.19,7487815.8,8546339.65,,7331548.63,,,,,,3199271.3,4075488.46,,37042.28,20739.11,,,4091791.63,,0.0,4091791.63,662081.25,3429710.38,,,,,,,,,,,,,,,,,,
929,兰州黄河,2005-08-06,2005-01-01,2005-06-30,2005-06-30,合并本期,定期报告,356894765.36,356894765.36,260399922.58,260399922.58,28269902.09,20957010.74,20881761.03,,17203318.94,,,,,,5157080.34,14339930.32,,65755.22,244010.44,,,14161675.1,233865.2,0.0,13927809.9,4828187.02,9099622.88,,,,,,,,,,,,,,,,,,
929,兰州黄河,2005-10-24,2005-01-01,2005-09-30,2005-09-30,合并本期,定期报告,526229260.0,526229260.0,365835456.01,365835456.01,45745776.94,37729602.81,34956158.39,,27008797.56,,,0.0,,,5812248.27,20765716.56,400000.0,145863.99,385315.8,,,20926264.75,391656.01,0.0,20534608.74,7719243.49,12815365.25,,,,,,,,,,,,,,,,,,
929,兰州黄河,2006-03-28,2005-01-01,2005-12-31,2005-12-31,合并本期,定期报告,621829672.82,621829672.82,424671617.35,424671617.35,53393509.32,49944071.32,57106380.73,,21953116.02,,,11450285.03,,,5078327.36,31289590.47,3878030.0,357723.72,519713.46,,,35005630.73,1000495.7,0.0,34005135.03,15996218.74,18008916.29,,,,,,,,,,,,,,,,,,
929,兰州黄河,2006-04-20,2006-01-01,2006-03-31,2006-03-31,合并本期,定期报告,166914747.95,166914747.95,121399521.87,121399521.87,13391987.94,11932535.11,9528743.84,,7807108.94,,,4939.61,,,518468.4,3378258.26,80000.0,219378.56,1247.49,,,3676389.33,0.0,0.0,3676389.33,959333.52,2717055.81,,,,,,,,,,,,,,,,,,
929,兰州黄河,2006-08-08,2006-01-01,2006-06-30,2006-06-30,合并本期,定期报告,368372527.16,368372527.16,246574654.19,246574654.19,34450346.08,37225227.29,27222129.99,,11145872.28,,,2689286.82,,,1569659.4,16013243.55,528000.0,232016.73,52401.44,,,16720858.84,57492.91,0.0,16663365.93,6802501.76,9860864.17,,,,,,,,,,,,,,,,,,
929,兰州黄河,2006-10-28,2006-01-01,2006-09-30,2006-09-30,合并本期,定期报告,617643350.22,617643350.22,412542128.18,412542128.18,55861605.98,59165525.82,41837183.36,,18522363.36,,,2716126.85,,,3173453.05,35604123.42,894000.0,304789.43,212667.2,,,36590245.65,69959.53,0.0,36520286.12,18907792.6,17612493.52,,,,,,,,,,,,,,,,,,
929,兰州黄河,2007-04-03,2006-01-01,2006-12-31,2006-12-31,合并本期,定期报告,753401253.5,753401253.5,490343697.77,490343697.77,65200492.56,72908968.82,62187840.59,,20969800.44,,,1004142.42,,,3328361.86,46122957.6,814000.0,510511.53,288000.48,,,47159468.65,567257.27,0.0,46592211.38,20266246.1,26325965.28,,,,,,,,,,,,,,,,,,
929,兰州黄河,2007-04-24,2007-01-01,2007-03-31,2007-03-31,合并本期,定期报告,212173905.14,212173905.14,142548513.16,142548513.16,16446016.07,20821132.98,11069131.74,,6391400.24,0.0,0.0,2299.92,2299.92,,,14900010.87,,2540451.51,56121.5,0.0,,17384340.88,1546235.4,0.0,15838105.48,5776623.24,10061482.24,,0.03,0.03,,,,,,,,,,,,,,,
929,兰州黄河,2007-07-31,2007-01-01,2007-06-30,2007-06-30,合并本期,定期报告,472068034.68,472068034.68,302506694.01,302506694.01,38369853.97,54613063.95,24941591.09,,12198870.36,0.0,0.0,8716.41,8716.41,,,39446677.71,,2663266.89,169705.23,46024.22,,41940239.37,3393671.85,0.0,38546567.52,19106881.99,19439685.53,,0.1,0.0,,,,,,,,,,,,,,,
929,兰州黄河,2007-10-28,2007-01-01,2007-09-30,2007-09-30,合并本期,定期报告,695846257.73,695846257.73,449937784.88,449937784.88,58509818.4,79034434.14,39092050.86,,19256522.83,,,-10598.02,-9768.02,,,50005048.6,,3168909.04,623906.19,46024.22,,52550051.45,5987125.67,0.0,46562925.78,19291697.31,27271228.47,,0.1,0.0,,,,,,,,,,,,,,,
929,兰州黄河,2008-02-01,2007-01-01,2007-12-31,2007-12-31,合并本期,定期报告,817962210.31,817962210.31,519450843.97,519450843.97,67995176.42,96010689.28,51991505.41,,24791730.39,11731602.79,,686.57,686.57,,,45991348.62,,4018682.58,5565958.12,4518205.73,,44444073.08,8482049.91,0.0,35962023.17,8417070.18,27544952.99,,0.045,0.045,,,,,,,,,,,,,,,
