机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,一、营业总收入,其中：营业收入（元）,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,堪探费用,财务费用,资产减值损失,加：公允价值变动净收益,投资收益,其中：对联营企业和合营企业的投资收益,汇兑收益,影响营业利润的其他科目,三、营业利润,加：补贴收入,营业外收入,减：营业外支出,其中：非流动资产处置损失,加：影响利润总额的其他科目,四、利润总额,减：所得税,加：影响净利润的其他科目,五、净利润,归属于母公司所有者的净利润,少数股东损益,六、每股收益：,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,八、综合收益总额,其中：归属于母公司,其中：归属于少数股东,利息收入,已赚保费,手续费及佣金收入,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其中：非流动资产处置利得
600677,航天通信,2005-04-30,2005-01-01,2005-03-31,2005-03-31,合并本期,定期报告,480420762.97,480420762.97,427255371.32,427255371.32,1496248.0,11121109.12,39052219.83,,10542983.49,,,-1265783.14,,,4570730.74,-5742221.19,674801.7,7581851.16,548993.59,,,1965438.08,683352.88,0.0,1282085.2,756327.0,525758.2,,,,,,,,,,,,,,,,,,
600677,航天通信,2005-08-20,2005-01-01,2005-06-30,2005-06-30,合并本期,定期报告,1053432768.3,1053432768.3,919461920.91,919461920.91,3349937.53,19560201.06,87501754.62,,21372766.05,,,1954918.26,,,8899579.38,13040685.77,725822.37,11226894.47,2148064.46,,,22845338.15,8543530.44,0.0,14301807.71,10161013.69,4140794.02,,,,,,,,,,,,,,,,,,
600677,航天通信,2005-10-21,2005-01-01,2005-09-30,2005-09-30,合并本期,定期报告,1625531249.28,1625531249.28,1417645177.9,1417645177.9,4605504.76,31044628.74,137921504.6,,32309294.59,,,2434741.77,,,11352651.18,15792531.64,912822.37,11475250.14,2551137.21,,,25629466.94,8751526.87,0.0,16877940.07,10498894.93,6379045.14,,,,,,,,,,,,,,,,,,
600677,航天通信,2006-04-22,2005-01-01,2005-12-31,2005-12-31,合并本期,定期报告,2386699228.56,2386699228.56,2069136099.88,2069136099.88,8216734.77,44715170.29,207644056.08,,45299652.43,,,142088.41,,,12303688.9,24133292.42,5801157.13,1257059.72,921673.69,,,30269835.58,11590390.13,0.0,18679445.45,11785671.77,6893773.68,,,,,,,,,,,,,,,,,,
600677,航天通信,2006-04-22,2006-01-01,2006-03-31,2006-03-31,合并本期,定期报告,485433917.41,485433917.41,426657632.76,426657632.76,910882.58,8364597.98,41818914.79,,11806085.84,,,84335.38,,,1915267.62,-2124593.54,4188800.0,180828.03,726116.13,,,1518918.36,177499.63,0.0,1341418.73,839580.41,501838.32,,,,,,,,,,,,,,,,,,
600677,航天通信,2006-07-22,2006-01-01,2006-06-30,2006-06-30,合并本期,定期报告,1101349334.47,1101349334.47,946292407.73,946292407.73,1477947.32,21744754.56,92258894.21,,25776620.92,,,-1372437.15,,,7751436.08,20177708.66,4353265.1,361553.37,1278410.35,,,23614116.78,10007710.77,0.0,13606406.01,8092006.11,5514399.9,,,,,,,,,,,,,,,,,,
600677,航天通信,2006-10-28,2006-01-01,2006-09-30,2006-09-30,合并本期,定期报告,1957217728.72,1957217728.72,1713067101.5,1713067101.5,2371173.46,36598803.29,149910632.81,,38657034.96,,,-1182701.47,,,11014221.46,26444502.69,4544454.67,2651907.65,2443898.07,,,31196966.94,13738411.84,0.0,17458555.1,10766559.36,6691995.74,,,,,,,,,,,,,,,,,,
600677,航天通信,2007-04-28,2006-01-01,2006-12-31,2006-12-31,合并本期,定期报告,2694310942.38,2694310942.38,2368057022.19,2368057022.19,4233679.38,48702854.91,508114181.56,,73118498.17,,,-39571998.16,,,12996043.22,-334491248.77,10248895.28,2604335.63,9891707.27,,,-331529725.13,12578145.37,0.0,-344107870.5,-351005724.21,6897853.71,,,,,,,,,,,,,,,,,,
600677,航天通信,2007-04-29,2007-01-01,2007-03-31,2007-03-31,合并本期,定期报告,564020173.68,564020173.68,501648598.26,501648598.26,525235.64,7552276.13,40153932.83,,17946553.4,-281057.13,,12811365.22,,,,9285999.77,,1239541.0,679149.82,,,9846390.95,4671895.98,0.0,5174494.97,4130989.93,1043505.04,,0.0127,0.0127,,,,,,,,,,,,,,,
600677,航天通信,2007-08-20,2007-01-01,2007-06-30,2007-06-30,合并本期,定期报告,1395761803.29,1395761803.29,1230421038.31,1230421038.31,1552781.56,16118356.0,77651930.52,,34352401.55,4121502.52,,37606094.35,-753244.96,,,69149887.18,,446470957.35,4493883.08,3853.86,,511126961.45,64358649.42,0.0,446768312.03,421749366.7,25018945.33,,1.293,1.293,,,,,,,,,,,,,,,
600677,航天通信,2007-10-26,2007-01-01,2007-09-30,2007-09-30,合并本期,定期报告,2378619870.64,2378619870.64,2122881899.65,2122881899.65,2820966.79,29119869.54,130318853.02,,48369682.46,3742601.4,,39042978.69,1232546.64,,,80408976.47,,447181051.14,5360042.72,146182.15,,522229984.89,71255829.0,0.0,450974155.89,424826900.21,26147255.68,,1.3025,1.3025,,,,,,,,,,,,,,,
600677,航天通信,2008-04-22,2007-01-01,2007-12-31,2007-12-31,合并本期,定期报告,3398126377.55,3398126377.55,3040225208.73,3040225208.73,4083678.55,43903017.38,203931724.23,,55224598.66,5435040.06,,-8151756.88,2203307.14,,,37171353.06,,761334405.87,57590027.92,14964717.89,,740915731.01,118471306.64,0.0,622444424.37,579906785.38,42537638.99,,1.7779,1.7779,,,,,,,,,,,,,,,
600677,航天通信,2008-04-30,2008-01-01,2008-03-31,2008-03-31,合并本期,定期报告,753389401.64,753389401.64,679788576.81,679788576.81,1086540.91,12016804.28,41475961.59,,9353961.07,1383119.28,,8492490.11,,,,16776927.81,,998503.4,785929.34,-463.42,,16989501.87,5043593.69,0.0,11945908.18,10900202.94,1045705.24,,0.0334,0.0334,,,,,,,,,,,,,,,
600677,航天通信,2008-07-12,2008-01-01,2008-06-30,2008-06-30,合并本期,定期报告,1733280300.2,1733280300.2,1531264779.64,1531264779.64,2753057.07,29622791.01,94439923.99,,20681885.99,5129610.19,,13082484.79,4286745.49,,,62470737.1,,2650201.84,4212681.04,2341453.76,,60908257.9,10906907.58,,50001350.32,44715232.89,5286117.43,,0.1371,0.1371,,,,,,,,,,,,,,,
