机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,一、营业总收入,其中：营业收入（元）,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,堪探费用,财务费用,资产减值损失,加：公允价值变动净收益,投资收益,其中：对联营企业和合营企业的投资收益,汇兑收益,影响营业利润的其他科目,三、营业利润,加：补贴收入,营业外收入,减：营业外支出,其中：非流动资产处置损失,加：影响利润总额的其他科目,四、利润总额,减：所得税,加：影响净利润的其他科目,五、净利润,归属于母公司所有者的净利润,少数股东损益,六、每股收益：,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,八、综合收益总额,其中：归属于母公司,其中：归属于少数股东,利息收入,已赚保费,手续费及佣金收入,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其中：非流动资产处置利得
2318,久立特材,2009-11-23,2009-01-01,2009-06-30,2009-06-30,合并本期,招募说明书,791670030.49,791670030.49,630958271.0,630958271.0,2003607.84,44520000.23,28132389.7,,13642211.78,3516935.12,,,,,,68896614.82,,1653858.73,1295906.48,137640.3,,69254567.07,11085310.98,,58169256.09,53900643.88,4268612.21,,0.45,0.45,,,,,,,,,,,,,,,
2318,久立特材,2009-12-10,2009-01-01,2009-09-30,2009-09-30,合并本期,上市公告书,1246312601.47,1246312601.47,1010092871.51,1010092871.51,3641662.56,66581896.35,42787430.76,,19141595.25,3930394.13,,,,,,100136750.91,,2365757.39,2047545.14,137640.3,,100454963.16,15139497.2,,85315465.96,77547832.27,7767633.69,,0.65,0.65,,,,,,,,,,,,,,,
2318,久立特材,2010-04-09,2009-01-01,2009-12-31,2009-12-31,合并本期,定期报告,1583096024.74,1583096024.74,1292368570.25,1292368570.25,4450120.58,81681133.51,57914416.01,,25871780.48,3476333.48,,,,,,117333670.43,,4595993.36,1643063.42,412930.62,,120286600.37,16297504.49,0.0,103989095.88,95425741.01,8563354.87,,0.8,0.8,,,,,,,,,,,,,,,
2318,久立特材,2010-04-24,2010-01-01,2010-03-31,2010-03-31,合并本期,定期报告,385054223.2,385054223.2,331409446.76,331409446.76,45061.14,15973796.85,13250585.07,,2563632.64,2693907.23,,,,,,19117793.51,,1041852.83,923634.37,,,19236011.97,2374147.4,0.0,16861864.57,16056749.94,805114.63,,0.1,0.1,,,,,,,,,,,,,,,
2318,久立特材,2010-08-28,2010-01-01,2010-06-30,2010-06-30,合并本期,定期报告,850590042.48,850590042.48,728227178.55,728227178.55,375700.06,37866952.75,29132258.21,,5455294.67,321762.95,,,,,,49210895.29,,2121771.98,1694244.79,,,49638422.48,7175669.71,0.0,42462752.77,38201915.11,4260837.66,,0.18,0.18,-15281.29,42447471.48,38186633.82,4260837.66,,,,,,,,,,,
2318,久立特材,2010-10-29,2010-01-01,2010-09-30,2010-09-30,合并本期,定期报告,1295034341.95,1295034341.95,1108905293.79,1108905293.79,670710.58,57003089.21,47682397.85,,8067817.27,1325710.58,,,,,,71379322.67,,3455001.29,2278159.84,,,72556164.12,9280092.08,0.0,63276072.04,55492981.1,7783090.94,,0.27,0.27,-35994.87,63240077.17,55456986.23,7783090.94,,,,,,,,,,,
2318,久立特材,2011-04-28,2010-01-01,2010-12-31,2010-12-31,合并本期,定期报告,1784299288.09,1784299288.09,1545280525.09,1545280525.09,1542787.32,82676351.47,56930374.34,,11839072.33,1408748.07,2563563.2,1723088.31,,,,88908080.98,,6320251.05,3503451.32,,,91724880.71,8312748.75,0.0,83412131.96,73216451.56,10195680.4,,0.35,0.35,-67816.02,83344315.94,73148635.54,10195680.4,,,,,,,,,,,
2318,久立特材,2011-04-28,2011-01-01,2011-03-31,2011-03-31,合并本期,定期报告,442498435.82,442498435.82,374534595.35,374534595.35,707041.3,18854306.41,17079639.84,,3981728.33,3214403.89,1075941.51,1093614.8,,,,26296277.01,,1526109.7,881138.38,,,26941248.33,2730730.65,0.0,24210517.68,20504514.98,3706002.7,,0.1,0.1,-17708.19,24192809.49,20486806.79,3706002.7,,,,,,,,,,,
2318,久立特材,2011-08-15,2011-01-01,2011-06-30,2011-06-30,合并本期,定期报告,1067039980.86,1067039980.86,895409857.83,895409857.83,1622702.73,49113651.47,34443553.07,,10022732.95,6349653.26,2100284.79,2797764.79,,,,74975879.13,,3516108.91,3706779.54,,,74785208.5,7563959.35,0.0,67221249.15,59795304.9,7425944.25,,0.29,0.29,-40152.86,67181096.29,59755152.04,7425944.25,,,,,,,,,,,
2318,久立特材,2011-10-26,2011-01-01,2011-09-30,2011-09-30,合并本期,定期报告,1645065247.99,1645065247.99,1378450347.85,1378450347.85,3180754.24,72449648.95,57120185.19,,18990842.58,6884459.24,2918549.0,3951744.0,,,,114859302.94,,6005514.99,6542651.36,,,114322166.57,12456628.0,0.0,101865538.57,92456766.61,9408771.96,,0.44,0.44,-73000.0,101792538.57,92383766.61,9408771.96,,,,,,,,,,,
