机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,一、营业总收入,其中：营业收入（元）,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,堪探费用,财务费用,资产减值损失,加：公允价值变动净收益,投资收益,其中：对联营企业和合营企业的投资收益,汇兑收益,影响营业利润的其他科目,三、营业利润,加：补贴收入,营业外收入,减：营业外支出,其中：非流动资产处置损失,加：影响利润总额的其他科目,四、利润总额,减：所得税,加：影响净利润的其他科目,五、净利润,归属于母公司所有者的净利润,少数股东损益,六、每股收益：,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,八、综合收益总额,其中：归属于母公司,其中：归属于少数股东,利息收入,已赚保费,手续费及佣金收入,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其中：非流动资产处置利得
2507,涪陵榨菜,2010-11-02,2010-01-01,2010-06-30,2010-06-30,合并本期,招募说明书,268218156.44,268218156.44,176107159.36,176107159.36,2206629.95,39187850.02,10505434.17,,3816531.81,-33448.8,,,,,,36427999.93,,541235.37,80971.42,79947.94,,36888263.88,6054926.34,0.0,30833337.54,30833337.54,,,0.27,0.27,3228807.16,34062144.7,34062144.7,,,,,,,,,,,,
2507,涪陵榨菜,2010-11-22,2010-01-01,2010-09-30,2010-09-30,合并本期,上市公告书,434157482.95,434157482.95,277132177.54,277132177.54,3482585.76,73254168.06,14503028.42,,5006281.5,-686.95,,,,,,60779928.62,,1105978.89,130971.42,34254.96,,61754936.09,9960059.03,0.0,51794877.06,51794877.06,,,0.45,0.45,,51794877.06,51794877.06,,,,,,,,,,,,
2507,涪陵榨菜,2011-04-18,2010-01-01,2010-12-31,2010-12-31,合并本期,定期报告,545036255.18,545036255.18,368650703.03,368650703.03,4300156.76,77928924.83,24314585.64,,5379628.11,-25472.85,,,,,,64487729.66,,2052506.15,149498.23,89764.26,,66390737.58,10645163.23,0.0,55745574.35,55745574.35,,,0.47,0.47,3337663.2,59083237.55,59083237.55,,,,,,,,,,,,
2507,涪陵榨菜,2011-04-18,2011-01-01,2011-03-31,2011-03-31,合并本期,定期报告,164222308.05,164222308.05,117695498.09,117695498.09,1365891.67,19193083.96,8005498.27,,-1459000.73,,,,,,,19421336.79,,158359.6,,,,19579696.39,3205507.73,0.0,16374188.66,16374188.66,,,0.11,0.11,,16374188.66,16374188.66,,,,,,,,,,,,
2507,涪陵榨菜,2011-07-29,2011-01-01,2011-06-30,2011-06-30,合并本期,定期报告,329998420.84,329998420.84,216234566.28,216234566.28,2452395.07,54576128.85,14841513.43,,-2474016.59,223257.11,,,,,,44144576.69,,1379245.09,59386.29,59386.29,,45464435.49,7351346.96,0.0,38113088.53,38113088.53,,,0.25,0.25,,38113088.53,38113088.53,,,,,,,,,,,,
2507,涪陵榨菜,2011-10-20,2011-01-01,2011-09-30,2011-09-30,合并本期,定期报告,526122164.73,526122164.73,345347605.79,345347605.79,4719455.92,87020386.82,19816678.39,,-7641702.21,223419.28,,,,,,76636320.74,,2753885.87,63237.09,59463.24,,79326969.52,12555492.75,0.0,66771476.77,66771476.77,,,0.43,0.43,,66771476.77,66771476.77,,,,,,,,,,,,
2507,涪陵榨菜,2012-03-29,2011-01-01,2011-12-31,2011-12-31,合并本期,定期报告,704660272.02,704660272.02,447826743.21,447826743.21,6318552.37,132611373.43,26492789.57,,-10613919.89,-18846.29,,,,,0.0,102043579.62,,3285329.42,824686.46,807036.46,0.0,104504222.58,16099706.84,0.0,88404515.74,88404515.74,,,0.57,0.57,,88404515.74,88404515.74,,,,,,,,,,,,
2507,涪陵榨菜,2012-04-24,2012-01-01,2012-03-31,2012-03-31,合并本期,定期报告,179064168.04,179064168.04,114457434.86,114457434.86,1561525.77,29527661.05,7993703.43,,-2741309.38,,,,,,0.0,28265152.31,,351460.41,3235.23,,0.0,28613377.49,4369719.57,0.0,24243657.92,24243657.92,,,0.16,0.16,,24243657.92,24243657.92,,,,,,,,,,,,
2507,涪陵榨菜,2012-07-31,2012-01-01,2012-06-30,2012-06-30,合并本期,定期报告,366854535.29,366854535.29,223165553.29,223165553.29,3711794.37,62801064.55,16438321.48,,-7019524.02,166693.6,0.0,0.0,,0.0,0.0,67590632.02,,856215.06,5587.05,701.72,0.0,68441260.03,10355391.51,0.0,58085868.52,58085868.52,,,0.37,0.37,0.0,58085868.52,58085868.52,,,,,,,,,,,,
2507,涪陵榨菜,2012-10-24,2012-01-01,2012-09-30,2012-09-30,合并本期,定期报告,566875821.84,566875821.84,327654250.38,327654250.38,5530368.42,99462862.93,23251035.13,,-10408707.39,166125.6,,,,,0.0,121219886.77,,1826905.03,39248.63,34363.3,0.0,123007543.17,18669344.23,0.0,104338198.94,104338198.94,,,0.67,0.67,,104338198.94,104338198.94,,,,,,,,,,,,
2507,涪陵榨菜,2013-03-29,2012-01-01,2012-12-31,2012-12-31,合并本期,定期报告,712658503.43,712658503.43,410217659.45,410217659.45,8665707.39,132281521.12,30896285.75,,-14039777.0,98818.25,,,,,,144538288.47,,4695168.09,154533.03,50467.12,,149078923.53,22625445.95,,126453477.58,126453477.58,,,0.82,0.82,,126453477.58,126453477.58,,,,,,,,,,,,
2507,涪陵榨菜,2013-04-23,2013-01-01,2013-03-31,2013-03-31,合并本期,定期报告,194878382.18,194878382.18,123190091.88,123190091.88,3008521.91,32784839.19,10150015.42,,-3241276.18,-200.0,,,,,,28986389.96,,7120057.78,111030.88,111029.87,,35995416.86,5617660.74,,30377756.12,30377756.12,,,0.2,0.2,,30377756.12,30377756.12,,,,,,,,,,,,
