机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,一、营业总收入,其中：营业收入（元）,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,堪探费用,财务费用,资产减值损失,加：公允价值变动净收益,投资收益,其中：对联营企业和合营企业的投资收益,汇兑收益,影响营业利润的其他科目,三、营业利润,加：补贴收入,营业外收入,减：营业外支出,其中：非流动资产处置损失,加：影响利润总额的其他科目,四、利润总额,减：所得税,加：影响净利润的其他科目,五、净利润,归属于母公司所有者的净利润,少数股东损益,六、每股收益：,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,八、综合收益总额,其中：归属于母公司,其中：归属于少数股东,利息收入,已赚保费,手续费及佣金收入,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其中：非流动资产处置利得
519,江南红箭,2005-04-21,2005-01-01,2005-03-31,2005-03-31,合并本期,定期报告,30358278.09,30358278.09,26529096.84,26529096.84,105438.77,1936328.39,5699811.7,,901567.54,,,-1263608.85,,,884576.79,-5192997.21,,3100.0,22916.54,,,-5212813.75,,0.0,-5212813.75,-5154560.29,-58253.46,,,,,,,,,,,,,,,,,,
519,江南红箭,2005-08-05,2005-01-01,2005-06-30,2005-06-30,合并本期,定期报告,75393864.84,75393864.84,65325029.75,65325029.75,410060.98,4379999.91,10155843.86,,1995399.46,,,-252304.59,,,1450415.26,-5674358.45,,21621.25,61869.95,,,-5714607.15,,0.0,-5714607.15,-5716820.58,2213.43,,,,,,,,,,,,,,,,,,
519,江南红箭,2005-10-24,2005-01-01,2005-09-30,2005-09-30,合并本期,定期报告,104206043.17,104206043.17,91170329.72,91170329.72,565391.73,6225337.15,16275125.89,,3389026.52,,,631643.64,,,2230433.37,-10557090.83,0.0,2303925.15,623859.43,,,-8877025.11,0.0,0.0,-8877025.11,-8878634.08,1608.97,,,,,,,,,,,,,,,,,,
519,江南红箭,2006-04-25,2005-01-01,2005-12-31,2005-12-31,合并本期,定期报告,138131884.15,138131884.15,124712717.4,124712717.4,699138.93,8464070.36,25959557.16,,5128057.24,,,807277.18,,,1999422.4,-24024957.36,580014.0,94967185.21,45886989.79,,,25635252.06,4556276.65,0.0,21078975.41,21289740.67,-210765.26,,,,,,,,,,,,,,,,,,
519,江南红箭,2006-04-25,2006-01-01,2006-03-31,2006-03-31,合并本期,定期报告,43919178.21,43919178.21,39296035.12,39296035.12,278648.72,3591192.96,6012709.15,,583002.49,,,130816.74,,,96516.14,-5615077.35,,65909052.37,38262280.82,,,22031694.2,7318211.33,0.0,14713482.87,14823691.07,-110208.2,,,,,,,,,,,,,,,,,,
519,江南红箭,2006-08-25,2006-01-01,2006-06-30,2006-06-30,合并本期,定期报告,97279504.82,97279504.82,85620774.4,85620774.4,519824.55,6289028.8,10558619.99,,572518.93,,,47275.03,,,1293895.73,-4940091.09,,118714416.29,75256721.62,,,38517603.58,12859803.71,0.0,25657799.87,25857309.31,-199509.44,,,,,,,,,,,,,,,,,,
519,江南红箭,2006-10-31,2006-01-01,2006-09-30,2006-09-30,合并本期,定期报告,140540273.89,140540273.89,122839819.14,122839819.14,699490.7,8607275.33,15319347.54,,535587.91,,,545549.89,,,4069676.05,-2846020.79,,118717780.29,75415415.69,,,40456343.81,13425042.72,0.0,27031301.09,27339762.58,-308461.49,,,,,,,,,,,,,,,,,,
519,江南红箭,2007-03-31,2006-01-01,2006-12-31,2006-12-31,合并本期,定期报告,185453207.06,185453207.06,156769494.63,156769494.63,998324.42,11734398.19,36642728.21,,486027.67,,,-1693841.26,,,2745929.79,-20125677.53,0.0,172221530.39,100565090.05,,,51530762.81,20536842.2,0.0,30993920.61,31315547.65,-321627.04,,,,,,,,,,,,,,,,,,
519,江南红箭,2007-04-24,2007-01-01,2007-03-31,2007-03-31,合并本期,定期报告,53132262.43,53132262.43,45318380.36,45318380.36,175823.03,2522218.27,4844541.63,,-9731.4,0.0,0.0,37104.06,37104.06,,,318134.6,,171103.2,3540.0,,,485697.8,54711.07,0.0,430986.73,397445.42,33541.31,,0.002,0.002,,,,,,,,,,,,,,,
519,江南红箭,2007-08-11,2007-01-01,2007-06-30,2007-06-30,合并本期,定期报告,112503850.89,112503850.89,96598282.82,96598282.82,447952.5,8695674.97,9728001.87,,-1787.36,189265.3,,6956079.13,6956079.13,,,3802539.92,,182788.55,3540.0,,,3981788.47,4379.99,0.0,3977408.48,3798103.82,179304.66,,0.0199,0.0199,,,,,,,,,,,,,,,
519,江南红箭,2007-10-17,2007-01-01,2007-09-30,2007-09-30,合并本期,定期报告,171931896.06,171931896.06,148533589.02,148533589.02,638595.55,12633891.97,14676900.19,,-91240.13,189265.3,,9582329.56,6842329.56,,,4933223.72,,343610.33,5659.1,,,5271174.95,4379.99,0.0,5266794.96,4716796.95,549998.01,,0.025,0.025,,,,,,,,,,,,,,,
519,江南红箭,2008-04-27,2007-01-01,2007-12-31,2007-12-31,合并本期,定期报告,234547732.17,234547732.17,205596454.96,205596454.96,796679.47,17440023.38,27876233.15,,379838.54,2965715.58,10297500.0,26413609.34,,,,16203896.43,,4749135.98,5659.1,,,20947373.31,10496652.21,0.0,10450721.1,9865402.46,585318.64,,0.05,0.05,,,,,,,,,,,,,,,
519,江南红箭,2008-04-29,2008-01-01,2008-03-31,2008-03-31,合并本期,定期报告,74366704.73,74366704.73,65700223.7,65700223.7,324211.0,4571291.42,5281864.13,,875526.27,,-1386000.0,-826154.66,-965189.66,,,-4598566.45,,21913.8,72914.88,,,-4649567.53,-207900.0,0.0,-4441667.53,-4547870.89,106203.36,,-0.024,-0.024,,,,,,,,,,,,,,,
519,江南红箭,2008-07-29,2008-01-01,2008-06-30,2008-06-30,合并本期,定期报告,166709069.39,166709069.39,146995393.79,146995393.79,614626.57,10939523.04,15164307.37,,1825015.73,225438.54,-4697000.0,-420530.8,-855004.02,,,-14172766.45,,727568.9,236165.43,,,-13681362.98,-2488505.55,0.0,-11192857.43,-12041963.97,849106.54,,-0.063,-0.063,,,,,,,,,,,,,,,
519,江南红箭,2008-10-31,2008-01-01,2008-09-30,2008-09-30,合并本期,定期报告,234822101.62,234822101.62,204281380.85,204281380.85,857699.51,16587949.99,22157837.15,,1819593.52,166340.56,-5590200.0,-897392.57,-1331865.79,,,-17536292.53,,737363.9,264540.03,,,-17063468.66,-2622485.55,0.0,-14440983.11,-15189060.55,748077.44,,-0.0795,-0.0795,,,,,,,,,,,,,,,
519,江南红箭,2009-04-25,2008-01-01,2008-12-31,2008-12-31,合并本期,定期报告,293919242.0,293919242.0,261439327.55,261439327.55,1531936.75,25476103.64,39395519.29,,3613538.93,12125202.4,-5959800.0,252402.58,-219534.62,,,-55369783.98,,27519357.58,2483252.3,969162.65,,-30333678.7,-2840797.44,0.0,-27492881.26,-27712333.42,219452.16,,-0.14,-0.14,,,,,,,,,,,,,,,
519,江南红箭,2009-04-29,2009-01-01,2009-03-31,2009-03-31,合并本期,定期报告,64112290.96,64112290.96,54424631.46,54424631.46,94955.36,3496710.23,8014331.63,,702928.49,-745000.0,1957500.0,-348791.16,-632576.0,,,-267557.37,,18810.0,243.2,,,-248990.57,412562.26,0.0,-661552.83,-769628.67,108075.84,,-0.004,-0.004,,,,,,,,,,,,,,,
519,江南红箭,2009-08-18,2009-01-01,2009-06-30,2009-06-30,合并本期,定期报告,148328344.68,148328344.68,120014094.96,120014094.96,508272.09,8846624.58,16720745.3,,1325207.65,204112.25,-226899.68,2620193.69,-1175590.2,,,3102581.86,,67879.4,31154.99,,,3139306.27,-25392.76,0.0,3164699.03,3290934.89,-126235.86,,0.017,0.017,,,,,,,,,,,,,,,
519,江南红箭,2009-10-29,2009-01-01,2009-09-30,2009-09-30,合并本期,定期报告,221220716.44,221220716.44,175813515.34,175813515.34,841620.86,13545113.08,25458835.94,,2156718.27,204112.25,369700.32,1407882.59,-2387901.3,,,4978383.61,,73862.2,40879.67,,,5011366.14,64097.24,0.0,4947268.9,5298175.83,-350906.93,,0.028,0.028,,,,,,,,,,,,,,,
519,江南红箭,2010-02-27,2009-01-01,2009-12-31,2009-12-31,合并本期,定期报告,290777593.02,290777593.02,224712116.97,224712116.97,1064303.38,20917600.96,38170644.77,,3171974.62,-452871.44,1115272.79,-3618412.15,-9032538.17,,,690684.4,,3253566.22,44140.46,37561.37,,3900110.16,928770.76,0.0,2971339.4,3685785.74,-714446.34,,0.02,0.02,,,,,,,,,,,,,,,
519,江南红箭,2010-04-10,2010-01-01,2010-03-31,2010-03-31,合并本期,定期报告,86913629.67,86913629.67,66903810.13,66903810.13,208689.18,5844432.83,9573639.32,,737290.78,,-401880.0,-592060.74,-592060.74,,,2651826.69,,522950.0,25800.0,,,3148976.69,-58282.0,0.0,3207258.69,3306676.38,-99417.69,,0.02,0.02,,,,,,,,,,,,,,,
519,江南红箭,2010-08-11,2010-01-01,2010-06-30,2010-06-30,合并本期,定期报告,178478243.48,178478243.48,140741805.93,140741805.93,723186.58,13043136.52,18826308.41,,1970508.58,193716.68,-2056680.0,-674881.09,-674881.09,,,248019.69,,738649.18,29490.12,,,957178.75,-304502.0,0.0,1261680.75,1211731.68,49949.07,,0.006,0.006,,1261680.75,1211731.68,49949.07,,,,,,,,,,,
519,江南红箭,2010-10-28,2010-01-01,2010-09-30,2010-09-30,合并本期,定期报告,252573644.54,246903900.22,199908653.48,199908653.48,981470.66,17078497.56,26897521.05,,2569609.05,193716.68,-709200.0,-4083509.15,-4083509.15,,,151466.91,,1423740.41,109666.82,,,1465540.5,-100380.0,0.0,1565920.5,1574293.66,-8373.16,,0.008,0.008,,1565920.5,1574293.66,-8373.16,,,,,,,,,,,
519,江南红箭,2011-03-18,2010-01-01,2010-12-31,2010-12-31,合并本期,定期报告,347846419.86,347846419.86,277487121.55,277487121.55,1341940.5,26200295.74,52533189.62,,3411755.25,13787697.36,-555540.0,37066593.56,,,,9595473.4,,2567840.83,462534.96,331345.07,,11700779.27,347439.74,0.0,11353339.53,11473799.43,-120459.9,,0.06,0.06,,11353339.53,11473799.43,-120459.9,,,,,,,,,,,
519,江南红箭,2011-04-29,2011-01-01,2011-03-31,2011-03-31,合并本期,定期报告,102386410.86,102386410.86,85964447.37,82549293.7,501421.83,4265489.82,9502099.13,,1381290.53,,-135930.0,,,,,635732.18,,6938.48,,,,642670.66,-20389.5,0.0,663060.16,756805.91,-93745.75,,0.004,0.004,,663060.16,756805.91,-93745.75,,,,,,,,,,,
