机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,一、营业总收入,其中：营业收入（元）,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,堪探费用,财务费用,资产减值损失,加：公允价值变动净收益,投资收益,其中：对联营企业和合营企业的投资收益,汇兑收益,影响营业利润的其他科目,三、营业利润,加：补贴收入,营业外收入,减：营业外支出,其中：非流动资产处置损失,加：影响利润总额的其他科目,四、利润总额,减：所得税,加：影响净利润的其他科目,五、净利润,归属于母公司所有者的净利润,少数股东损益,六、每股收益：,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,八、综合收益总额,其中：归属于母公司,其中：归属于少数股东,利息收入,已赚保费,手续费及佣金收入,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其中：非流动资产处置利得
2121,科陆电子,2007-04-17,2007-01-01,2007-03-31,2007-03-31,合并本期,定期报告,28510834.74,28510834.74,19980839.77,19980839.77,61546.79,4557392.03,4679224.8,,354973.07,,,,,,,-1123141.72,,2669623.92,240.65,,,1546241.55,408126.32,0.0,1138115.23,1145248.95,-7133.72,,0.02,0.02,,,,,,,,,,,,,,,
2121,科陆电子,2007-07-30,2007-01-01,2007-06-30,2007-06-30,合并本期,定期报告,104287885.43,104287885.43,67514127.76,67514127.76,223014.69,11202974.23,14506726.85,,1058112.9,3224470.91,,,,,,6558458.09,,4519794.46,9098.35,,,11069154.2,283257.84,0.0,10785896.36,10719304.98,66591.38,,0.19,0.19,,,,,,,,,,,,,,,
2121,科陆电子,2007-10-16,2007-01-01,2007-09-30,2007-09-30,合并本期,定期报告,170698333.18,170698333.18,106800641.06,106800641.06,316425.22,16976714.37,23809766.8,,485724.32,3224470.91,,,,,,19084590.5,,6371982.32,32298.35,,,25424274.47,976089.72,0.0,24448184.75,24431074.77,17109.98,,0.21,0.21,,,,,,,,,,,,,,,
2121,科陆电子,2008-02-26,2007-01-01,2007-12-31,2007-12-31,合并本期,定期报告,345483887.95,345483887.95,208391903.0,208391903.0,964814.45,25716830.57,30806226.47,,-570927.36,7950917.92,0.0,0.0,0.0,,,72224122.9,,8690282.24,96953.63,0.0,,80817451.51,5554365.52,0.0,75263085.99,75228856.91,34229.08,,0.64,0.64,,,,,,,,,,,,,,,
2121,科陆电子,2008-04-28,2008-01-01,2008-03-31,2008-03-31,合并本期,定期报告,41682804.69,41682804.69,24923467.8,24923467.8,52152.94,6405109.57,8846548.7,,-336119.76,98864.73,0.0,0.0,0.0,,,1692780.71,,241614.7,1255.23,0.0,,1933140.18,249915.0,0.0,1683225.18,1629958.14,53267.04,,0.01,0.01,,,,,,,,,,,,,,,
2121,科陆电子,2008-08-28,2008-01-01,2008-06-30,2008-06-30,合并本期,定期报告,135608757.93,135608757.93,81870843.23,81870843.23,281761.29,16746547.36,22349065.98,,268096.08,3452571.36,,,,,,10639872.63,,6840663.27,129212.68,,,17351323.22,498867.67,0.0,16852455.55,16739831.39,112624.16,,0.14,0.14,,,,,,,,,,,,,,,
2121,科陆电子,2008-10-30,2008-01-01,2008-09-30,2008-09-30,合并本期,定期报告,228461718.14,228461718.14,132278488.99,132278488.99,472284.74,25425889.76,33865030.54,,1947870.53,3452571.36,,,,,,31019582.22,,8095943.27,133086.6,,,38982438.89,1947978.14,0.0,37034460.75,36857872.21,176588.54,,0.31,0.31,,,,,,,,,,,,,,,
2121,科陆电子,2009-04-25,2008-01-01,2008-12-31,2008-12-31,合并本期,定期报告,394549423.63,394549423.63,233614034.43,233614034.43,1376692.7,41286484.27,49865520.37,,3291681.36,14074636.09,5345.28,,,,,51045719.69,,8741149.32,231549.5,,,59555319.51,4204826.89,0.0,55350492.62,55576986.3,-226493.68,,0.46,0.46,,,,,,,,,,,,,,,
2121,科陆电子,2009-04-25,2009-01-01,2009-03-31,2009-03-31,合并本期,定期报告,46161409.28,46161409.28,25801511.08,25801511.08,77692.82,8255718.17,11190382.4,,1525726.5,,,,,,,-689621.69,,3835040.23,724.91,,,3144693.63,1018188.28,0.0,2126505.35,2416187.18,-289681.83,,0.02,0.02,,,,,,,,,,,,,,,
2121,科陆电子,2009-08-21,2009-01-01,2009-06-30,2009-06-30,合并本期,定期报告,142530476.45,142530476.45,78253487.7,78253487.7,255231.15,20009613.33,22702570.96,,1758856.13,-4174843.41,,,,,,23725560.59,,6870751.16,1463.02,0.0,,30594848.73,5009771.01,0.0,25585077.72,26211683.5,-626605.78,,0.11,0.11,,,,,,,,,,,,,,,
