机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,一、营业总收入,其中：营业收入（元）,二、营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,堪探费用,财务费用,资产减值损失,加：公允价值变动净收益,投资收益,其中：对联营企业和合营企业的投资收益,汇兑收益,影响营业利润的其他科目,三、营业利润,加：补贴收入,营业外收入,减：营业外支出,其中：非流动资产处置损失,加：影响利润总额的其他科目,四、利润总额,减：所得税,加：影响净利润的其他科目,五、净利润,归属于母公司所有者的净利润,少数股东损益,六、每股收益：,（一）基本每股收益,（二）稀释每股收益,七、其他综合收益,八、综合收益总额,其中：归属于母公司,其中：归属于少数股东,利息收入,已赚保费,手续费及佣金收入,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其中：非流动资产处置利得
912,泸天化,2005-04-19,2005-01-01,2005-03-31,2005-03-31,合并本期,定期报告,848602796.73,848602796.73,592817199.42,592817199.42,4871770.14,44095293.86,53181345.93,,10632869.91,,,-977532.05,,,2190024.38,144216809.8,,178650.79,477704.19,,,143917756.4,36662551.44,0.0,107255204.96,80846450.13,26408754.83,,,,,,,,,,,,,,,,,,
912,泸天化,2005-07-27,2005-01-01,2005-06-30,2005-06-30,合并本期,定期报告,1953675847.89,1953675847.89,1343897802.57,1343897802.57,10904117.2,94810428.12,116268319.5,,14478500.03,,,-7874175.97,,,5301519.81,370744024.31,14657892.56,333629.23,1376433.09,,,384359113.01,62566067.13,0.0,321793045.88,248677372.63,73115673.25,,,,,,,,,,,,,,,,,,
912,泸天化,2005-10-21,2005-01-01,2005-09-30,2005-09-30,合并本期,定期报告,2622649099.85,2622649099.85,1781458793.72,1781458793.72,11670877.8,142438628.34,169480730.05,,16752250.71,,,-10230454.09,,,7100176.31,497717541.45,56039950.6,408309.1,1666183.97,,,552499617.18,93921075.41,0.0,458578541.77,359507791.4,99070750.37,,,,,,,,,,,,,,,,,,
912,泸天化,2006-03-10,2005-01-01,2005-12-31,2005-12-31,合并本期,定期报告,3122767018.0,3122767018.0,2046872077.15,2046872077.15,13095631.58,189040237.05,264274403.14,,20829623.98,,,-16298642.97,,,9177147.63,581533549.76,70136410.99,1423460.23,4010760.09,,,649082660.89,100788153.14,0.0,548294507.75,456433143.58,91861364.17,,,,,,,,,,,,,,,,,,
912,泸天化,2006-04-15,2006-01-01,2006-03-31,2006-03-31,合并本期,定期报告,1093481609.97,1093481609.97,804910704.73,804910704.73,2132515.01,49944036.52,68598768.49,,9462856.44,,,917447.12,,,-898094.35,158452081.55,42418958.63,157171.55,1281146.06,,,199747065.67,34739282.57,0.0,165007783.1,116974220.13,48033562.97,,,,,,,,,,,,,,,,,,
912,泸天化,2006-07-29,2006-01-01,2006-06-30,2006-06-30,合并本期,定期报告,2556547735.4,2556547735.4,1971403630.46,1971403630.46,2810008.4,130689100.27,137528078.43,,17934099.55,,,10279460.58,,,338874.68,306801153.55,83306601.23,1327132.53,1544370.41,,,389890516.9,64631712.5,0.0,325258804.4,254470757.74,70788046.66,,,,,,,,,,,,,,,,,,
912,泸天化,2006-10-28,2006-01-01,2006-09-30,2006-09-30,合并本期,定期报告,3639742860.7,3639742860.7,2828121542.04,2828121542.04,4270293.91,188118834.5,208666594.48,,25317131.47,,,10607951.22,,,8704110.03,404560525.55,102967302.52,1096712.07,2771206.93,,,505853333.21,86311230.66,0.0,419542102.55,336128679.55,83413423.0,,,,,,,,,,,,,,,,,,
912,泸天化,2007-03-21,2006-01-01,2006-12-31,2006-12-31,合并本期,定期报告,4716514464.48,4716514464.48,3584454533.75,3584454533.75,5956815.92,239941282.81,305501344.86,,35448700.05,,,39347537.08,,,3506323.56,588065647.73,31904105.94,2322613.06,5549261.17,,,616743105.56,109810075.18,0.0,506933030.38,440082504.19,66850526.19,,,,,,,,,,,,,,,,,,
912,泸天化,2007-04-24,2007-01-01,2007-03-31,2007-03-31,合并本期,定期报告,1285941568.56,1285941568.56,983724623.03,983724623.03,2528314.51,17596038.05,66032086.54,,9446397.38,1375840.4,,10820662.82,10344220.81,,,216058931.47,,1449861.72,622207.18,,,216886586.01,50004024.72,0.0,166882561.29,122094917.44,44787643.85,,0.21,0.21,,,,,,,,,,,,,,,
912,泸天化,2007-08-03,2007-01-01,2007-06-30,2007-06-30,合并本期,定期报告,3003706138.87,3003706138.87,2381586249.98,2381586249.98,4773400.11,34159763.86,148537951.63,,18439491.59,8250158.56,,2857356.9,2857356.9,,,410816480.04,,1868633.5,1256061.27,,,411429052.27,72853828.97,0.0,338575223.3,265012216.54,73563006.76,,0.45,,,,,,,,,,,,,,,,
