机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
600,建投能源,2005-04-13,2005-01-01,2005-03-31,2005-03-31,合并本期,定期报告,422196918.99,,1209480.14,423406399.13,321654643.43,20725827.79,70462051.91,9768513.59,422611036.72,795362.41,,,,,,,5406260.44,,,,,5406260.44,-5406260.44,,6000000.0,,,6000000.0,10000000.0,21524123.53,,31524123.53,-25524123.53,,,-30135021.56,160358738.63,130223717.07,,,-3696987.75,,86783192.81,334654.12,179587.63,,,,21524123.53,821336.7,,,-5433910.33,-44851918.74,-54503699.97,-361015.59,795362.41,,,,,,130223717.07,160358738.63,,,0.0,-30135021.56,,,,,,,,,,,,,,,,,,
600,建投能源,2005-07-27,2005-01-01,2005-06-30,2005-06-30,合并本期,定期报告,1079537705.44,,20122310.17,1099660015.61,704433977.31,44382756.74,118544610.2,23232144.51,890593488.76,209066526.85,,,,,,,18593910.47,,,,,18593910.47,-18593910.47,,129000000.0,,,129000000.0,249147845.0,91459021.48,,340606866.48,-211606866.48,,,-21134250.1,160358738.63,139224488.53,,,33818781.61,-6037416.45,176543872.57,669260.71,454805.26,,,,46695145.84,1642673.4,,,-29719105.46,-72973917.27,52073546.26,5898880.38,209066526.85,,,,0.0,,139224488.53,160358738.63,,,0.0,-21134250.1,,,,,,,,,,,,,,,,,,
600,建投能源,2005-10-29,2005-01-01,2005-09-30,2005-09-30,合并本期,定期报告,1627127771.83,,33146768.44,1660274540.27,1071290463.14,62977525.66,180300765.64,37872323.21,1352441077.65,307833462.62,,,,,,,26155974.33,,,,,26155974.33,-26155974.33,,339000000.0,,,339000000.0,486187845.0,114210460.41,,600398305.41,-261398305.41,,,20279182.88,160358738.63,180637921.51,,,65719249.14,-6037416.45,265059901.27,710450.29,634121.89,,,,52375066.02,2464010.1,,,-83217989.25,-57942035.68,63380458.99,4687646.3,307833462.62,,,,0.0,,180637921.51,160358738.63,,,0.0,20279182.88,,,,,,,,,,,,,,,,,,
600,建投能源,2006-03-18,2005-01-01,2005-12-31,2005-12-31,合并本期,定期报告,2215461088.38,500000.0,9125837.95,2225086926.33,1386635552.37,90590449.26,226205895.98,85118094.87,1788549992.48,436536933.85,,,21926.2,,,21926.2,38626407.03,81164844.86,,,,119791251.89,-119769325.69,,460000000.0,,42300000.0,502300000.0,728344375.0,138973808.91,,867318183.91,-365018183.91,,,-48250575.75,160358738.63,112108162.88,,,87001659.51,-4667158.47,351802174.54,1351680.55,829891.96,403496.04,,,85527516.36,3285346.8,,,-80086979.9,-80325753.71,71417580.17,-2520.0,436536933.85,,,,0.0,,112108162.88,160358738.63,,,0.0,-48250575.75,,,,,,,,,,,,,,,,,,
600,建投能源,2006-04-20,2006-01-01,2006-03-31,2006-03-31,合并本期,定期报告,457811857.11,,1601224.06,459413081.17,351565657.36,23646088.54,70783947.27,16686755.25,462682448.42,-3269367.25,,,,,,,16900265.46,,,,,16900265.46,-16900265.46,,116000000.0,,1100000.0,117100000.0,63000000.0,22606509.37,,85606509.37,31493490.63,,,11323857.92,112108162.88,123432020.8,,,21301611.36,,87485873.13,372536.58,263050.29,,,,22621799.09,821336.7,,,45442903.43,-115280249.77,-60784519.13,-5513708.93,-3269367.25,,,,0.0,,123432020.8,112108162.88,,,0.0,11323857.92,,,,,,,,,,,,,,,,,,
600,建投能源,2006-08-01,2006-01-01,2006-06-30,2006-06-30,合并本期,定期报告,1165252210.49,0.0,3516865.9,1168769076.39,733710317.15,47822449.33,153355140.76,35391111.4,970279018.64,198490057.75,,,,,,0.0,40269532.66,,,,,40269532.66,-40269532.66,225600000.0,325000000.0,,3010000.0,553610000.0,294010540.0,50651317.59,137000000.0,481661857.59,71948142.41,,,230168667.5,112108162.88,342276830.38,,,42996031.87,39158.4,174952624.02,745073.16,526100.58,1121273.56,,,40691019.42,1642673.4,,,30237034.37,-14318387.51,-77063942.87,-3078600.65,198490057.75,,,,,,342276830.38,112108162.88,,,0.0,230168667.5,,,,,,,,,,,,,,,,,,
600,建投能源,2006-10-21,2006-01-01,2006-09-30,2006-09-30,合并本期,定期报告,1813072010.67,,6020807.23,1819092817.9,1036919176.5,71772406.47,245631742.9,54748349.28,1409071675.15,410021142.75,,45964.0,,,,45964.0,88809488.29,,,,,88809488.29,-88763524.29,,414500000.0,,3010000.0,417510000.0,634814487.05,120798512.19,,755612999.24,-338102999.24,,,-16845380.78,112108162.88,95262782.1,,,81916807.9,39158.4,249338363.82,1117609.74,789150.87,1121273.56,,,67251583.94,2418046.1,,,35462818.11,-24208592.82,-35889559.53,30664482.66,410021142.75,,,,,,95262782.1,112108162.88,,,0.0,-16845380.78,,,,,,,,,,,,,,,,,,
600,建投能源,2007-03-27,2006-01-01,2006-12-31,2006-12-31,合并本期,定期报告,2387240892.14,500000.0,9358631.98,2397099524.12,1376602818.07,93480721.78,299959124.12,72676972.2,1842719636.17,554379887.95,,45964.0,94353.2,,,140317.2,131122676.88,,,,,131122676.88,-130982359.68,,500500000.0,,3000000.0,503500000.0,819814487.05,139576384.75,,959390871.8,-455890871.8,,,-32493343.53,112108162.88,79614819.35,,,98178279.01,-8964.13,323534323.16,1505696.32,1052201.16,,3212807.61,,84138042.88,3239382.8,,,24972403.96,66304588.86,-51751393.68,2520.0,554379887.95,,,,,,79614819.35,112108162.88,,,0.0,-32493343.53,,,,,,,,,,,,,,,,,,
600,建投能源,2007-04-29,2007-01-01,2007-03-31,2007-03-31,合并本期,定期报告,1207355671.86,,3635710.12,1210991381.98,559969525.09,54881244.79,186855530.63,32069561.45,833775861.96,377215520.02,,,82619.4,,,82619.4,295855586.24,1925370406.96,,,35889.0,2221261882.2,-2221179262.8,2256000000.0,545000000.0,,30150000.0,2831150000.0,730558050.0,67228929.17,696788.28,798483767.45,2032666232.55,,,188702489.77,98242489.31,286944979.08,,,133876925.95,,157841137.19,1109955.24,263050.29,-1600.0,,,51947138.27,-4492862.35,,,-4590991.94,-28121545.23,57616088.97,11768223.63,377215520.02,,,,,,286944979.08,98242489.31,,,,188702489.77,,,,,,,,,,,,,,,,,,
600,建投能源,2007-08-29,2007-01-01,2007-06-30,2007-06-30,合并本期,定期报告,2538439501.73,23695900.88,7713338.15,2569848740.76,1131072862.68,87082608.76,412154377.54,52748883.19,1683058732.17,886790008.59,,,125018.03,,,125018.03,564478063.62,1160888382.28,,765095965.86,123639.0,2490586050.76,-2490461032.73,2256000000.0,959000000.0,,37350000.0,3252350000.0,1274354225.0,355154334.57,16980288.28,1646488847.85,1605861152.15,,,2190128.01,98242489.31,100432617.32,,,374027026.43,2325765.6,314483547.62,2868386.22,607951.86,-1600.0,9983.6,0.0,126917777.42,-80143629.06,372968.16,-112718.48,-14638631.95,-93283814.9,253356996.07,,886790008.59,,,,,,100432617.32,98242489.31,,,,2190128.01,,,,,,,,,,,,,,,,,,
