机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
2612,朗姿股份,2011-08-11,2011-01-01,2011-06-30,2011-06-30,合并本期,招募说明书,497680829.71,,2551404.1,500232233.81,224533867.1,53153559.07,78828593.12,91405342.78,447921362.07,52310871.74,,7639.6,,,0.0,7639.6,60953568.19,,,,0.0,60953568.19,-60945928.59,,,,0.0,,,15155764.01,0.0,15155764.01,-15155764.01,645166.03,,-23145654.83,145328521.93,122182867.1,,,96196130.9,1578735.52,2148283.42,1113188.79,373777.8,,,,-645166.03,-7639.6,-555164.3,,18851610.22,-50013075.83,-16729809.15,0.0,52310871.74,,,,,,122182867.1,145328521.93,,,,-23145654.83,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2011-10-25,2011-01-01,2011-09-30,2011-09-30,合并本期,定期报告,768149723.33,0.0,4095768.14,772245491.47,400916699.28,82929832.32,103741880.01,122132063.19,709720474.8,62525016.67,523000.0,7639.6,,,0.0,530639.6,65648988.08,0.0,,,0.0,65648988.08,-65118348.48,1666935000.0,,,0.0,1666935000.0,,15155764.01,0.0,15155764.01,1651779235.99,945087.16,,1650130991.34,145328521.93,1795459513.27,,,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2012-03-23,2011-01-01,2011-12-31,2011-12-31,合并本期,定期报告,1049141141.47,0.0,12254580.32,1061395721.79,597647950.76,116654317.91,116300678.86,166124898.57,996727846.1,64667875.69,523000.0,7639.6,,,2182915.15,2713554.75,102610306.91,0.0,,,1596181515.15,1698791822.06,-1696078267.31,1666935000.0,,,0.0,1666935000.0,,15155764.01,7247000.0,22402764.01,1644532235.99,720221.04,,13842065.41,145328521.93,159170587.34,,,208660759.88,4680702.09,4706384.85,2425217.14,685259.16,7804.51,,,-2903136.19,-30639.6,-2844418.75,2910000.81,-165630986.34,-108663845.34,120664773.47,0.0,64667875.69,,,,,,159170587.34,145328521.93,,,,13842065.41,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2012-04-17,2012-01-01,2012-03-31,2012-03-31,合并本期,定期报告,298042461.99,0.0,18889122.27,316931584.26,116477195.43,38936989.65,49183064.91,69722806.09,274320056.08,42611528.18,,0.0,275500.0,,0.0,275500.0,2530411.4,0.0,,,0.0,2530411.4,-2254911.4,0.0,,,0.0,0.0,,,0.0,0.0,0.0,79618.93,,40436235.71,159170587.34,199606823.05,,,,,0.0,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2012-08-24,2012-01-01,2012-06-30,2012-06-30,合并本期,定期报告,535457272.09,0.0,13724357.5,549181629.59,233710618.06,107441357.38,99150161.43,102993745.25,543295882.12,5885747.47,388645137.74,0.0,,,9524159.19,398169296.93,234576813.46,0.0,,,0.0,234576813.46,163592483.47,0.0,,,0.0,0.0,,120000000.0,0.0,120000000.0,-120000000.0,-143196.09,,49335034.85,159170587.34,208505622.19,,,142393714.48,9983261.69,2922144.39,1020840.27,0.0,,,,1389000.5,,-1248073.58,-2910000.81,-57048744.54,-43676082.81,-46940312.12,0.0,5885747.47,,,,,,208505622.19,159170587.34,,,,49335034.85,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2012-10-23,2012-01-01,2012-09-30,2012-09-30,合并本期,定期报告,850907218.43,32525.27,20419030.46,871358774.16,415265677.56,163892401.53,148240756.66,150590913.0,877989748.75,-6630974.59,388645137.74,0.0,,,9524159.19,398169296.93,252118300.67,0.0,,,0.0,252118300.67,146050996.26,0.0,,,0.0,0.0,,122959878.57,0.0,122959878.57,-122959878.57,-199567.57,,16260575.53,159170587.34,175431162.87,,,,,0.0,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2013-03-15,2012-01-01,2012-12-31,2012-12-31,合并本期,定期报告,1255705993.85,,16364626.27,1272070620.12,671047740.41,218794940.01,174771396.4,204151334.97,1268765411.79,3305208.33,,,,,431531676.24,431531676.24,265349385.86,,,,,265349385.86,166182290.38,,,,,,,120000000.0,,120000000.0,-120000000.0,-336228.47,,49151270.24,159170587.34,208321857.58,,,231290677.02,21206932.99,8022716.79,2204904.01,3970181.13,,,,-43720781.1,,-7841908.3,-2910000.81,-297538726.4,-42596506.36,99806314.6,31411404.76,3305208.33,,,,,,208321857.58,159170587.34,,,,49151270.24,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2013-04-25,2013-01-01,2013-03-31,2013-03-31,合并本期,定期报告,371140294.59,,3834810.65,374975105.24,161091507.11,74263386.27,61746256.07,48850577.31,345951726.76,29023378.48,,,,,199009687.98,199009687.98,2620399.0,,,,,2620399.0,196389288.98,,,,,,,,,,,-214322.34,,225198345.12,208321857.58,433520202.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2013-08-20,2013-01-01,2013-06-30,2013-06-30,合并本期,定期报告,683021726.84,,9971198.89,692992925.73,306082083.14,144367074.94,138248433.91,95052153.28,683749745.27,9243180.46,,,,,194549693.5,194549693.5,10875244.75,,,,206000000.0,216875244.75,-22325551.25,,,,,,,110000000.0,,110000000.0,-110000000.0,-214322.34,,-123296693.13,208321857.58,85025164.45,,,149145012.11,7643107.16,4089046.15,1331253.35,1535114.37,,,,-4956413.51,-1958833.34,1384072.74,,54549785.47,-28633253.57,-174885710.47,,9243180.46,,,,,,85025164.45,208321857.58,,,,-123296693.13,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2013-10-25,2013-01-01,2013-09-30,2013-09-30,合并本期,定期报告,1069906456.04,4440123.84,23029355.93,1097375935.81,459918465.28,217164646.0,191384987.45,169191232.33,1037659331.06,59716604.75,,,,,1292580988.01,1292580988.01,12532721.91,,,,961000000.0,973532721.91,319048266.1,,,,,,,110000000.0,,110000000.0,-110000000.0,164122.79,,268928993.64,208321857.58,477250851.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2014-04-18,2013-01-01,2013-12-31,2013-12-31,合并本期,定期报告,1489698228.89,0.0,20024427.21,1509722656.1,673148937.78,306504332.21,202476153.74,314680605.79,1496810029.52,12912626.58,,0.0,,,1261764687.73,1261764687.73,107034951.13,0.0,,,1075500000.0,1182534951.13,79229736.6,0.0,,,0.0,,,180000000.0,0.0,180000000.0,-180000000.0,-155203.57,,-88012840.39,208321857.58,120309017.19,,,233737256.67,31826490.37,9475819.55,3934146.42,6499760.21,1458.16,,,-25525678.82,-16664730.36,-6851348.52,,-63232338.12,-1891772.94,-158396436.04,0.0,12912626.58,,,,,,120309017.19,208321857.58,,,,-88012840.39,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2014-04-18,2014-01-01,2014-03-31,2014-03-31,合并本期,定期报告,337470789.2,,16181006.18,353651795.38,109071239.5,81741542.58,66562145.52,50354397.26,307729324.86,45922470.52,,,,,889580841.68,889580841.68,2682636.85,,,,861200000.0,863882636.85,25698204.83,,,,,,,,,,,1708504.87,,73329180.22,120309017.19,193638197.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2014-08-22,2014-01-01,2014-06-30,2014-06-30,合并本期,定期报告,661494332.43,,17245262.95,678739595.38,218224613.77,163213638.1,128565421.61,117416457.98,627420131.46,51319463.92,,,,,1101155876.38,1101155876.38,5225354.0,,,,1004280000.0,1009505354.0,91650522.38,,,,,,,115742307.0,,115742307.0,-115742307.0,2184020.39,,29411699.69,120309017.19,149720716.88,,,97180570.23,27582201.01,4907229.28,2492135.74,2730121.66,,,,0.0,-31535685.1,-7215144.17,,32465614.25,-27702753.18,-49584825.8,,51319463.92,,,,,,149720716.88,120309017.19,,,,29411699.69,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2014-10-24,2014-01-01,2014-09-30,2014-09-30,合并本期,定期报告,1023609040.21,,17761246.79,1041370287.0,351608182.37,242130127.29,256619619.58,179052324.07,1029410253.31,11960033.69,,,,,1111516506.15,1111516506.15,7290645.91,11648000.0,,,962117000.0,981055645.91,130460860.24,,40768000.0,,,40768000.0,,120000000.0,,120000000.0,-79232000.0,1764354.93,,64953248.86,120309017.19,185262266.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2015-03-31,2014-01-01,2014-12-31,2014-12-31,合并本期,定期报告,1392214763.34,,157897466.98,1550112230.32,561173445.14,319100976.01,265327554.19,368998774.15,1514600749.49,35511480.83,,,,,1131411296.7,1131411296.7,28179653.14,308032225.87,,,759900000.0,1096111879.01,35299417.69,,503465611.87,,,503465611.87,39081211.87,200504202.89,100000000.0,339585414.76,163880197.11,240461.79,,234931557.42,120309017.19,355240574.61,,,121224940.47,52571066.28,15046396.53,5666622.23,9690467.13,0.0,0.0,0.0,1634551.93,-55788244.94,-16486988.55,0.0,-28563276.06,-754992.42,-68729061.77,0.0,35511480.83,,0.0,0.0,0.0,,355240574.61,120309017.19,0.0,0.0,,234931557.42,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2015-04-23,2015-01-01,2015-03-31,2015-03-31,合并本期,定期报告,370664201.0,,1258309.43,371922510.43,99377652.76,86711723.43,36781832.71,29862818.18,252734027.08,119188483.35,,,,,1044693651.37,1044693651.37,705806.59,,,,1188000000.0,1188705806.59,-144012155.22,,,,,,,3058174.1,,3058174.1,-3058174.1,-20579.27,,-27902425.24,355240574.61,327338149.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2015-08-25,2015-01-01,2015-06-30,2015-06-30,合并本期,定期报告,840699506.87,,42022909.64,882722416.51,150126093.24,157544471.9,83962691.78,133972360.91,525605617.83,357116798.68,,,326500.0,,770964631.04,771291131.04,1698094.27,155823500.0,,,750000000.0,907521594.27,-136230463.23,,430000000.0,,100000000.0,530000000.0,312783428.27,14921887.79,,327705316.06,202294683.94,-2283504.75,,420897514.64,355240574.61,776138089.25,,,43266451.33,9361606.94,9865391.13,2902967.33,4614816.2,3699.63,,,12077732.04,-17981548.09,-5033531.07,,69357435.0,42668052.37,186013725.87,,357116798.68,,,,,,776138089.25,355240574.61,,,,420897514.64,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2015-10-27,2015-01-01,2015-09-30,2015-09-30,合并本期,定期报告,1152402089.25,,43214496.42,1195616585.67,281085355.55,230599045.24,104806702.04,205815594.06,822306696.89,373309888.78,,,326500.0,,776446520.69,776773020.69,2418851.88,158182500.0,,,975143750.0,1135745101.88,-358972081.19,,430000000.0,,100000000.0,530000000.0,742783428.27,23355387.79,,766138816.06,-236138816.06,-2880427.99,,-224681436.46,355240574.61,130559138.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2016-03-31,2015-01-01,2015-12-31,2015-12-31,合并本期,定期报告,1315489253.49,,17752969.91,1333242223.4,457895148.36,328974203.42,137281816.22,258266022.22,1182417190.22,150825033.18,,,326500.0,,803841924.08,804168424.08,17725334.33,513225409.1,,,359000000.0,889950743.43,-85782319.35,,762493192.04,,100000000.0,862493192.04,894384400.0,24509414.8,110000000.0,1028893814.8,-166400622.76,-2301706.08,,-103659615.01,355240574.61,251580959.6,,,74456433.33,14608202.65,20007281.39,6198165.09,14746604.79,116211.76,,,23138603.97,-46015246.33,-9368959.21,,66880305.86,17771113.45,-31713683.57,,150825033.18,,,,,,251580959.6,355240574.61,,,,-103659615.01,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2016-04-27,2016-01-01,2016-03-31,2016-03-31,合并本期,定期报告,290330185.41,,815352.74,291145538.15,73932058.7,79709848.26,38901165.97,35040987.63,227584060.56,63561477.59,,,,,360065072.64,360065072.64,813361.0,5643000.0,,,483000000.0,489456361.0,-129391288.36,,6122915.07,,,6122915.07,,1681908.32,,1681908.32,4441006.75,701741.02,,-60687063.0,251580959.6,190893896.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2016-08-16,2016-01-01,2016-06-30,2016-06-30,合并本期,定期报告,527866391.87,,1134465.79,529000857.66,162460607.55,148422555.65,79863417.32,79193475.57,469940056.09,59060801.57,,,,,361270617.77,361270617.77,1333248.0,125456077.21,,,449000000.0,575789325.21,-214518707.44,,30243920.77,,,30243920.77,,43504816.78,,43504816.78,-13260896.01,-2260797.37,,-170979599.25,251580959.6,80601360.35,,,38400022.95,1963520.1,10094800.07,3019734.82,3799424.15,,,,3504622.02,-42665798.51,-4941456.25,,75587071.69,19177900.01,-48879039.48,,59060801.57,,,,,,80601360.35,251580959.6,,,,-170979599.25,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2016-10-27,2016-01-01,2016-09-30,2016-09-30,合并本期,定期报告,865014188.48,,111948546.78,976962735.26,337411471.55,218347331.08,109231181.3,208305278.86,873295262.79,103667472.47,,,600.0,,371215097.66,371215697.66,15083876.23,27296077.21,,327200000.0,465400000.0,834979953.44,-463764255.78,,231798697.99,,0.0,231798697.99,8622915.07,47545014.76,10000000.0,66167929.83,165630768.16,-1017443.45,,-195483458.6,415881615.18,220398156.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2017-03-31,2016-01-01,2016-12-31,2016-12-31,合并本期,定期报告,1423304207.11,,69172295.53,1492476502.64,575032545.13,340475811.88,147547951.89,296987738.09,1360044046.99,132432455.65,,,198600.0,,644374142.46,644572742.46,40884408.9,21601478.6,,163914509.18,729662829.13,956063225.81,-311490483.35,,218914826.86,,110000000.0,328914826.86,46589233.98,54689521.39,10000000.0,111278755.37,217636071.49,-8882757.12,,29695286.67,251580959.6,281276246.27,,,183844442.21,-25372188.74,29701054.99,7050543.54,5002952.43,1460086.47,0.0,0.0,14689521.39,-83571368.46,-47274864.99,40320991.39,55764726.54,-14357193.6,-34826247.52,,132432455.65,,0.0,0.0,0.0,,281276246.27,251580959.6,0.0,0.0,,29695286.67,,,,,,,,,,,,,,,,,,
2612,朗姿股份,2017-04-28,2017-01-01,2017-03-31,2017-03-31,合并本期,定期报告,561160158.12,,7681244.57,568841402.69,194396518.25,107732407.71,54795693.85,142959915.15,499884534.96,68956867.73,,,,,943529259.91,943529259.91,24308303.56,30000000.0,,,1524538944.58,1578847248.14,-635317988.23,150000000.0,510000000.0,,10000000.0,670000000.0,105000000.0,3296807.03,,108296807.03,561703192.97,7612474.44,,2954546.91,281276246.27,284230793.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000000.0,,
2612,朗姿股份,2017-08-22,2017-01-01,2017-06-30,2017-06-30,合并本期,定期报告,1146655507.24,,14274810.54,1160930317.78,551589601.34,244690582.28,78994394.26,234563193.35,1109837771.23,51092546.55,5704986.86,1080000.0,196224.87,,497460697.73,504441909.46,56273265.23,35000000.0,,,1386540000.0,1477813265.23,-973371355.77,250000000.0,918000000.0,,270000000.0,1438000000.0,468053693.05,32092802.21,8000000.0,508146495.26,929853504.74,2980583.65,,10555279.17,281276246.27,291831525.44,,,43981558.76,-2878890.42,37786170.88,5146431.16,4685162.16,167463.55,,,11173616.26,-30859515.28,-5284163.99,5165507.71,46863732.81,-218517899.61,153663372.56,,51092546.55,,,,,,291831525.44,281276246.27,,,,10555279.17,,,,,,,,,,,,,,,,250000000.0,,
