机构ID,机构名称,公告日期,截止日期,报告年度,合并类型,报表来源,货币资金（元）,以公允价值计量且其变动计入当期损益的金融资产,应收票据,应收账款,预付款项,其他应收款,应收关联公司款,应收利息,应收股利,存货,其中：消耗性生物资产,一年内到期的非流动资产,其他流动资产,流动资产合计,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,固定资产,在建工程,工程物资,固定资产清理,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,以公允价值计量且其变动计入当期损益的金融负债,应付票据,应付账款,预收款项,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,应付关联公司款,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款,专项应付款,预计负债,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,实收资本（或股本）,资本公积,盈余公积,专项储备,减：库存股,一般风险准备,未分配利润,归属于母公司所有者权益,少数股东权益,外币报表折算价差,非正常经营项目收益调整,所有者权益（或股东权益）合计,负债和所有者（或股东权益）合计,其他综合收益,递延收益-非流动负债,结算备付金,拆出资金,发放贷款及垫款-流动资产,衍生金融资产,应收保费,应收分保账款,应收分保合同准备金,买入返售金融资产,划分为持有待售的资产,发放贷款及垫款-非流动资产,向中央银行借款,吸收存款及同业存放,拆入资金,衍生金融负债,卖出回购金融资产款,应付手续费及佣金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,划分为持有待售的负债,预计负债-流动负债,递延收益-流动负债,其中：优先股-非流动负债,永续债-非流动负债,长期应付职工薪酬,其他权益工具,其中：优先股-所有者权益,永续债-所有者权益
2599,盛通股份,2011-07-14,2011-06-30,2011-06-30,合并本期,上市公告书,43632756.1,,6724.41,109118039.63,12297426.38,1614567.47,,,,59781246.96,,,,226450760.95,0.0,,,,,333930405.83,22443380.08,,,,,16346780.12,,,,1554009.65,,374274575.68,600725336.63,65694878.19,0.0,108285738.77,80810286.23,1388666.31,2700910.71,15078280.38,76800.01,,6518555.44,,37431220.1,,317985336.14,23258045.09,,17712584.7,,,,993582.32,41964212.11,359949548.25,99000000,1667491.69,14588329.67,,,,125519967.02,240775788.38,,,,240775788.38,600725336.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,盛通股份,2011-10-21,2011-09-30,2011-09-30,合并本期,定期报告,249951703.57,,1334802.09,126486240.55,35022803.82,1275488.79,,789606.99,,70285144.88,,,0.0,485145790.69,0.0,,,,,350760983.26,27138770.75,,,,,16228950.77,,,,1882759.36,0.0,396011464.14,881157254.83,18845608.09,0.0,153585518.43,72484031.06,1381667.31,3131111.06,8736000.48,12026.66,,5122194.93,,34454480.31,0.0,297752638.33,20425694.97,,13091164.01,,,,671514.64,34188373.62,331941011.95,132000000,271607018.25,15256287.43,,,,130352937.2,549216242.88,,,,549216242.88,881157254.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,盛通股份,2012-04-20,2011-12-31,2011-12-31,合并本期,定期报告,194823299.89,,,130473839.22,37613322.62,1753336.78,,2009326.7,,82898541.67,,,0.0,449571666.88,,10059703.73,,,,400645876.2,3635776.68,,,,,16254255.33,,,,1979115.82,0.0,432574727.76,882146394.64,8150729.9,,154940314.61,81438256.44,1416788.31,3193440.04,10164486.42,18447.24,,5290810.76,,29809429.23,0.0,294422702.95,18413277.55,,11116053.06,,,,571847.14,30101177.75,324523880.7,132000000,271607018.25,16127636.05,,,,137887859.64,557622513.94,,,0.0,557622513.94,882146394.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,盛通股份,2012-04-26,2012-03-31,2012-03-31,合并本期,定期报告,188309280.25,,1000000.0,122058626.08,40059421.14,848343.38,,2829801.04,,88181052.34,,,0.0,443286524.23,,,,,,403016088.21,3685254.7,,,,,16169437.95,,,,1885004.69,0.0,424755785.55,868042309.78,18451473.1,,141124020.46,71795488.67,1367669.31,2740989.55,13689554.17,32392.43,,5152286.95,,29359720.18,0.0,283713594.82,13789806.16,,5274215.83,,,,472179.64,19536201.63,303249796.45,132000000,271607018.25,16127636.05,,,,145057859.03,564792513.33,,,0.0,564792513.33,868042309.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,盛通股份,2012-08-17,2012-06-30,2012-06-30,合并本期,定期报告,172604292.69,0.0,200000.0,143331286.18,16127031.53,2302625.74,,3828216.23,0.0,94919809.68,,0.0,0.0,433313262.05,0.0,0.0,0.0,0.0,0.0,394388019.51,52233185.87,0.0,0.0,0.0,0.0,16364056.25,0.0,0.0,0.0,1959958.94,0.0,464945220.57,898258482.62,28532385.33,0.0,142381575.23,98398427.37,233952.0,3292084.63,13487753.55,57653.52,12450000.0,6339748.24,,22832481.32,0.0,328006061.19,13342159.23,0.0,5062798.32,0.0,0.0,0.0,372512.14,18777469.69,346783530.88,132000000,271607018.25,16127636.05,0.0,0.0,,131740297.44,551474951.74,0.0,0.0,0.0,551474951.74,898258482.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,盛通股份,2012-10-24,2012-09-30,2012-09-30,合并本期,定期报告,164705866.25,,,145613020.24,20367053.18,1276157.19,,1065892.48,,92925708.15,,,0.0,425953697.49,,,,,,388790139.79,50764482.62,,,,,16424211.17,,,,2107165.17,0.0,458085998.75,884039696.24,27889174.84,,145762842.9,80890966.72,256032.0,2710630.27,10819748.27,40694.85,9590000.0,4063562.25,,21630860.16,0.0,303654512.26,10842643.96,,7600174.03,,,,1822844.64,20265662.63,323920174.89,132000000,271607018.25,16127636.05,,,,140384867.05,560119521.35,,,0.0,560119521.35,884039696.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,盛通股份,2013-03-09,2012-12-31,2012-12-31,合并本期,定期报告,150941066.45,,600000.0,147503466.46,11529159.45,1542074.51,,987395.87,,113064337.52,,,54750.0,426222250.26,,,,,,423300536.92,19332426.88,,,,,16912677.93,,,,2120258.24,,461665899.97,887888150.23,12150297.0,,139352652.5,104723256.19,5486907.08,3242915.99,12852547.93,19913.88,9590000.0,3285020.7,,19349871.38,,310053382.65,7885276.67,,604231.18,,,,1673177.14,10162684.99,320216067.64,132000000,271607018.25,19334970.13,,,,144730094.21,567672082.59,,,,567672082.59,887888150.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,盛通股份,2013-04-25,2013-03-31,2013-03-31,合并本期,定期报告,138255375.59,,455067.66,163501281.9,33859697.94,2782504.16,,528800.18,,113030023.39,,,,452412750.82,,,,,,422648685.1,12161047.78,,,,,16749717.46,,,46944.2,2119018.53,,453725413.07,906138163.89,16650297.0,,139388738.32,126795143.3,944596.3,857849.34,13964238.73,22880.55,7070000.0,4210628.08,,17517053.1,,327421424.72,4712498.05,,,,,,1600582.15,6313080.2,333734504.92,132000000,271607018.25,19334970.13,,,,149461670.59,572403658.97,,,,572403658.97,906138163.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,盛通股份,2013-08-22,2013-06-30,2013-06-30,合并本期,定期报告,131358856.2,,846668.32,148157674.34,25428023.65,1759997.59,,835320.12,,118445203.76,,,,426831743.98,,,,,,436961227.63,24154950.59,,,,,16594537.01,,,552139.69,2196342.51,,480459197.43,907290941.41,34000000.0,,127368584.91,119585480.66,937913.3,3168084.62,6275140.22,56100.0,9770000.0,10183788.75,,14552543.31,,325897635.77,2591762.67,,,,,,1540461.67,4132224.34,330029860.11,132000000,271607018.25,19334970.13,,,,154319092.92,577261081.3,,,,577261081.3,907290941.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,盛通股份,2013-10-25,2013-09-30,2013-09-30,合并本期,定期报告,84584457.74,,1202782.09,161872386.9,24396777.52,5247463.3,,531030.68,,118428785.93,,,,396263684.16,,,,,,445842022.76,42262565.32,,,,,16739402.11,,,592601.77,2245140.58,,507681732.54,903945416.7,42000000.0,,132000463.85,122221546.28,930914.3,1620879.49,-2301893.79,69300.0,2700000.0,12172766.51,,12732032.31,,324146008.95,,,,,,,1480341.19,1480341.19,325626350.14,132000000,271607018.25,19334970.13,,,,155377078.18,578319066.56,,,,578319066.56,903945416.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
