机构ID,机构名称,公告日期,截止日期,报告年度,合并类型,报表来源,货币资金（元）,以公允价值计量且其变动计入当期损益的金融资产,应收票据,应收账款,预付款项,其他应收款,应收关联公司款,应收利息,应收股利,存货,其中：消耗性生物资产,一年内到期的非流动资产,其他流动资产,流动资产合计,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,固定资产,在建工程,工程物资,固定资产清理,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,以公允价值计量且其变动计入当期损益的金融负债,应付票据,应付账款,预收款项,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,应付关联公司款,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款,专项应付款,预计负债,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,实收资本（或股本）,资本公积,盈余公积,专项储备,减：库存股,一般风险准备,未分配利润,归属于母公司所有者权益,少数股东权益,外币报表折算价差,非正常经营项目收益调整,所有者权益（或股东权益）合计,负债和所有者（或股东权益）合计,其他综合收益,递延收益-非流动负债,结算备付金,拆出资金,发放贷款及垫款-流动资产,衍生金融资产,应收保费,应收分保账款,应收分保合同准备金,买入返售金融资产,划分为持有待售的资产,发放贷款及垫款-非流动资产,向中央银行借款,吸收存款及同业存放,拆入资金,衍生金融负债,卖出回购金融资产款,应付手续费及佣金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,划分为持有待售的负债,预计负债-流动负债,递延收益-流动负债,其中：优先股-非流动负债,永续债-非流动负债,长期应付职工薪酬,其他权益工具,其中：优先股-所有者权益,永续债-所有者权益
676,智度投资,2005-08-23,2005-06-30,2005-06-30,合并本期,定期报告,390886371.88,600000.0,500000.0,346360220.79,21261680.74,61697826.45,,,,234108148.98,,,924292.32,1056338541.16,,,,81747785.5,,158696174.22,91941642.59,,,,,24895467.14,,,1928001.38,,0.0,359209070.83,1415547611.99,538724425.0,,45600000.0,212436741.82,9386673.67,13126897.48,-5700869.3,,4058927.6,41883484.16,,50000000.0,524038.03,910040318.46,32000000.0,,,1010000.0,,,,33010000.0,943050318.46,314586699,14770001.39,43932450.32,,,,40485849.71,413775000.42,58722293.11,,0.0,472497293.53,1415547611.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,智度投资,2005-10-28,2005-09-30,2005-09-30,合并本期,定期报告,420983733.79,550000.0,100000.0,334169816.81,28716299.97,62113765.87,,,,257310427.11,,,461326.6,1104405370.15,,,,88267289.39,,158716926.8,94759130.63,,,,,25628972.09,,,1713160.53,,0.0,369085479.44,1473490849.59,633000000.0,,40000000.0,229437294.07,12816680.85,9739963.76,-9468017.09,,4058933.56,42605360.88,,,400000.0,962590216.03,32000000.0,,,1335000.0,,,,33335000.0,995925216.03,314586699,14936301.61,43932450.32,,,,44433524.44,417888975.37,59676658.19,,0.0,477565633.56,1473490849.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,智度投资,2006-03-17,2005-12-31,2005-12-31,合并本期,定期报告,357186479.87,2000000.0,3574520.5,340411764.88,23856420.55,66150550.2,,,,214446012.27,,,0.0,1007625748.27,,,,67337725.01,,263349430.83,,,,,,46173772.02,,,2536051.44,,0.0,379396979.3,1387022727.57,513000000.0,,42000000.0,238810614.08,10307321.59,10333728.16,-2802997.75,,4058933.56,24223670.73,,,300000.0,840231270.37,32000000.0,,,1545000.0,,,,33545000.0,873776270.37,314586699,14780080.11,49549337.31,,,,57573983.61,436490100.03,76756357.17,,0.0,513246457.2,1387022727.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,智度投资,2006-04-20,2006-03-31,2006-03-31,合并本期,定期报告,461563208.48,,250000.0,348252378.27,26226033.18,79267849.36,,,,232399830.83,,,1037090.97,1148996391.09,,,,66919110.44,,258355715.45,,,,,,45451283.87,,,776780.71,,0.0,371502890.47,1520499281.56,646669238.72,,50000000.0,224503327.01,11360490.71,11799932.33,-5801577.63,,4207733.56,28473695.59,,,1663493.52,972876333.81,32000000.0,,,1545000.0,,,,33545000.0,1006421333.81,314586699,14780080.11,49549337.31,,,,59721210.58,438637327.0,75440620.75,,0.0,514077947.75,1520499281.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,智度投资,2006-08-17,2006-06-30,2006-06-30,合并本期,定期报告,442733830.06,,250000.0,325040959.71,27233100.09,69080155.0,,,,255559173.64,,,851394.01,1120748612.51,,,,68007621.87,,255383878.33,,,,,,44904198.76,,,651381.64,,0.0,368947080.6,1489695693.11,694014815.74,,62000000.0,171384819.21,23921760.39,11545378.57,-9124704.0,,6308683.03,25066828.61,,,930075.49,986047657.04,3000000.0,,,1682000.0,,,,4682000.0,990729657.04,314586699,14880156.83,49549337.31,,,,43795577.18,422811770.32,76154265.75,,0.0,498966036.07,1489695693.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,智度投资,2006-10-31,2006-09-30,2006-09-30,合并本期,定期报告,440202824.39,,1481567.54,320246815.38,28367724.74,73014059.19,,,,280532716.12,,,441697.05,1144287404.41,,,,67004570.04,,252871637.46,,,,,,44171073.04,,,546663.95,,0.0,364593944.49,1508881348.9,641403365.99,,36000000.0,193631969.84,48496943.91,11062347.51,-8951424.72,,6212683.03,44300684.44,,,4877889.62,977034459.62,27000000.0,,,2762000.0,,,,29762000.0,1006796459.62,314586699,14871156.83,49549337.31,,,,45145737.77,424152930.91,77931958.37,,0.0,502084889.28,1508881348.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,智度投资,2007-03-31,2006-12-31,2006-12-31,合并本期,定期报告,441605412.4,,4139131.54,334369940.99,32620248.67,80622668.1,,,,257487282.69,,,0.0,1150844684.39,,,,66546790.73,,247812689.57,,,,,,43530940.05,,,443205.56,,0.0,358333625.91,1509178310.3,535343301.59,,80000000.0,217923320.12,21045474.07,10690099.91,3907988.14,,5916683.03,61288186.84,,,291269.23,936406322.93,33000000.0,,,3122000.0,,,,36122000.0,972528322.93,314586699,14106859.63,52583592.25,,,,66007076.13,447284227.01,89833688.95,,-467928.59,536649987.37,1509178310.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,智度投资,2007-04-21,2007-03-31,2007-03-31,合并本期,定期报告,399311313.8,,2990000.0,308341423.79,23466228.28,77007713.19,,,,293314874.34,,,5927568.31,1110359121.71,,,,21597796.86,,242617086.08,,,,,,42892157.07,,,339747.17,4408780.88,,311855568.06,1422214689.77,486935689.7,,80000000.0,227852478.62,25708894.28,7345197.02,-4941393.02,5896683.03,,12519767.96,,,313194.1,841630511.69,33000000.0,,,2997000.0,,,,35997000.0,877627511.69,314586699,14406859.63,52968393.94,,,,72105054.86,453523762.22,91063415.86,,-543245.21,544587178.08,1422214689.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,智度投资,2007-08-11,2007-06-30,2007-06-30,合并本期,定期报告,462553703.7,,3062827.5,288211461.84,32891655.8,90461183.71,,,,287116220.9,,,5136289.24,1169433342.69,0.0,,,12077945.03,,237159966.29,,,,,,42148690.68,,6596160.35,198048.17,4353612.19,,302534422.71,1471967765.4,561276850.0,0.0,80000000.0,193538743.09,21521636.44,6070335.08,-1548375.84,5272443.03,,18102643.64,,,663830.0,884898105.44,33000000.0,,,2880000.0,,,,35880000.0,920778105.44,314586699,14406859.63,52968393.94,,,,78967418.94,460929371.51,90260288.45,,,551189659.96,1471967765.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,智度投资,2007-10-29,2007-09-30,2007-09-30,合并本期,定期报告,422407082.24,,3393832.2,290180023.28,31989389.31,103531836.89,,,,285607803.9,,,4228667.12,1141338634.94,0.0,,,12077945.03,,232388521.08,,,,,,43359074.39,,6596160.35,171773.58,4372019.56,,298965493.99,1440304128.93,498887253.12,0.0,120000000.0,202949616.62,15800489.59,5625392.31,1240315.44,4210595.36,,17974738.82,,30000000.0,872805.0,897561206.26,3000000.0,,,2880000.0,,,,5880000.0,903441206.26,314586699,14406859.63,52968393.94,,,,61419277.71,443381230.28,93481692.39,,,536862922.67,1440304128.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
