机构ID,机构名称,公告日期,截止日期,报告年度,合并类型,报表来源,货币资金（元）,以公允价值计量且其变动计入当期损益的金融资产,应收票据,应收账款,预付款项,其他应收款,应收关联公司款,应收利息,应收股利,存货,其中：消耗性生物资产,一年内到期的非流动资产,其他流动资产,流动资产合计,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,固定资产,在建工程,工程物资,固定资产清理,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,以公允价值计量且其变动计入当期损益的金融负债,应付票据,应付账款,预收款项,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,应付关联公司款,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款,专项应付款,预计负债,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,实收资本（或股本）,资本公积,盈余公积,专项储备,减：库存股,一般风险准备,未分配利润,归属于母公司所有者权益,少数股东权益,外币报表折算价差,非正常经营项目收益调整,所有者权益（或股东权益）合计,负债和所有者（或股东权益）合计,其他综合收益,递延收益-非流动负债,结算备付金,拆出资金,发放贷款及垫款-流动资产,衍生金融资产,应收保费,应收分保账款,应收分保合同准备金,买入返售金融资产,划分为持有待售的资产,发放贷款及垫款-非流动资产,向中央银行借款,吸收存款及同业存放,拆入资金,衍生金融负债,卖出回购金融资产款,应付手续费及佣金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,划分为持有待售的负债,预计负债-流动负债,递延收益-流动负债,其中：优先股-非流动负债,永续债-非流动负债,长期应付职工薪酬,其他权益工具,其中：优先股-所有者权益,永续债-所有者权益
2376,新北洋,2010-04-19,2010-03-31,2010-03-31,合并本期,定期报告,886050103.28,,1743400.0,88344075.78,2337365.13,3856272.05,,,,43684711.17,,,,1026015927.41,0.0,,,78338179.67,6821265.53,55922006.08,66097307.63,,,,,93491059.56,,,6226214.64,3035869.2,,309931902.31,1335947829.72,53000000.0,0.0,,55265297.98,2719744.38,5112727.54,3654070.35,-17708.34,,9925468.68,,,35936961.16,165596561.75,95909091,,,,,,,95909091.0,261505652.75,150000000,760166186.0,38285619.17,,,,122592204.68,1070732616.92,3709560.05,-311392.93,,1074442176.97,1335947829.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,新北洋,2010-08-12,2010-06-30,2010-06-30,合并本期,定期报告,794073375.22,,1473000.0,84439073.37,3403402.11,7004980.3,,2936297.11,,53878287.69,,,,947208415.8,0.0,,,65215546.45,6771259.7,106680135.69,54777551.95,,,,,93057050.66,,,6160990.23,2919846.72,,335582381.4,1282790797.2,16000000.0,0.0,14930495.63,57012007.75,3016811.63,11682694.21,6058244.38,,,9283263.2,,,35040414.14,153023930.94,42909091,,,,200000.0,,,43109091.0,196133021.94,150000000,760166186.0,38285619.17,,,,115386128.5,1063635114.42,23022660.84,-202819.25,,1086657775.26,1282790797.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,新北洋,2010-10-22,2010-09-30,2010-09-30,合并本期,定期报告,740542027.52,,2044326.0,109637148.96,3551888.92,6492555.24,,5171586.25,,54376054.92,,,,921815587.81,0.0,,,69693338.35,6721253.87,106415641.79,81712307.51,,,,,92527222.34,,,6939896.76,3163803.31,,367173463.93,1288989051.74,16000000.0,0.0,731744.12,55224004.69,4182188.95,10846437.74,5678965.52,,,4348364.22,,,41366307.31,138378012.55,39909091,,,,,,,39909091.0,178287103.55,150000000,760166186.0,38285619.17,,,,139275592.47,1087864048.95,22837899.24,136651.31,,1110701948.19,1288989051.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,新北洋,2011-04-19,2010-12-31,2010-12-31,合并本期,定期报告,805636724.77,,3436990.0,116630857.06,4481649.55,6196623.32,,6554151.77,,55972727.48,,,0.0,998909723.95,0.0,,,73238192.97,13128645.44,96320037.81,96631654.8,,,,,91997394.02,,,5543682.36,3944236.29,0.0,380803843.69,1379713567.64,16000000.0,0.0,1890774.57,77953138.45,3144250.06,12668288.9,10025555.77,,288000.0,7469745.54,,16000000.0,0.0,145439753.29,23909091,,,,,655415.18,38958565.0,63523071.18,208962824.47,150000000,765631803.67,54004662.3,,,,176335687.97,1146053362.9,24697380.27,81208.96,,1170750743.17,1379713567.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,新北洋,2011-04-19,2011-03-31,2011-03-31,合并本期,定期报告,755939599.51,,2511591.0,144851619.06,4126250.36,9468050.66,,9113356.4,,60856912.26,,,0.0,986867379.25,0.0,,,80325957.47,13030402.78,92992502.31,118048688.88,,,,,91484642.5,,,6375909.97,4675193.71,0.0,406933297.62,1393800676.87,16000000.0,0.0,1411528.82,76238019.36,2687336.54,17045933.2,4099710.35,,288000.0,9866243.56,,16000000.0,0.0,143636771.83,23818182,,,,,909589.05,37181730.91,61909501.96,205546273.79,150000000,765631803.67,54004662.3,,,,196281751.54,1165649224.32,22605178.76,-268993.19,,1188254403.08,1393800676.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,新北洋,2011-08-23,2011-06-30,2011-06-30,合并本期,定期报告,727167063.48,,3257660.0,144634238.07,4160155.09,14838886.21,,5386917.69,,63561811.79,,,0.0,963006732.33,0.0,,,85319153.29,12932242.96,89858529.48,143129620.47,,,,,90979732.57,,,7080481.24,4861473.55,0.0,434161233.56,1397167965.89,26000000.0,0.0,1827504.55,81816260.67,3044536.71,21136774.34,8557116.63,,288000.0,12282756.06,,9000000.0,0.0,163952948.96,20818182,,,,,537529.49,33804896.81,55160608.3,219113557.26,300000000,615631803.67,54004662.3,,,,184352852.18,1154276424.45,23777984.18,287106.3,,1178054408.63,1397167965.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,新北洋,2011-10-25,2011-09-30,2011-09-30,合并本期,定期报告,673266874.07,,4922360.0,168061004.49,5430937.41,19553833.22,,7574484.75,,80295068.02,,,0.0,959104561.96,0.0,,,79333455.13,12834083.14,86652027.12,197556408.73,,,,,90474822.64,,,6753880.78,4063948.21,0.0,477668625.75,1436773187.71,32000000.0,0.0,11287850.69,84346618.79,3481359.69,14893862.17,6330523.46,,288000.0,9748542.48,,,0.0,162376757.28,20818182,,,,,756870.51,37895335.42,59470387.93,221847145.21,300000000,615631803.67,54004662.3,,,,221537572.33,1191116068.26,23809974.24,-57970.04,,1214926042.5,1436773187.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,新北洋,2012-04-19,2011-12-31,2011-12-31,合并本期,定期报告,677376397.84,,10466382.59,185007504.49,5686262.48,9506374.64,,6548477.88,,73125677.88,,,0.0,967717077.8,,,,86229117.94,12735923.32,117255453.32,239597351.57,,,,,89969912.71,,,5745775.41,6268635.22,0.0,557802169.49,1525519247.29,32000000.0,,10216512.54,84264421.92,2170317.84,15323067.88,19923184.99,,,14176323.28,,,0.0,178073828.45,20818182,,,,,982271.68,34764363.4,56564817.08,234638645.53,300000000,615631803.67,77979003.14,,,,271247016.27,1264708782.16,26171819.6,-149040.92,0.0,1290880601.76,1525519247.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,新北洋,2012-04-19,2012-03-31,2012-03-31,合并本期,定期报告,619308291.44,,10896236.13,203064066.54,8873710.5,17865403.68,,9610020.61,,82442232.88,,,0.0,952059961.78,,,,89967600.85,12637763.5,115897532.22,258481469.29,,,,,89465002.78,,,6090425.83,6669647.87,0.0,579209442.34,1531269404.12,32000000.0,,9600047.11,79288127.24,4111155.68,15879443.15,6479890.95,,,14429815.63,,,0.0,161788479.76,20727273,,,,,1438460.05,31580869.21,53746602.26,215535082.02,300000000,615631803.67,77979003.14,,,,296134109.98,1289669037.95,26065284.15,-75878.84,0.0,1315734322.1,1531269404.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,新北洋,2012-08-23,2012-06-30,2012-06-30,合并本期,定期报告,538017034.84,,14980300.0,233711537.11,9075582.6,35168855.13,,5999081.47,,87024065.37,,,0.0,923976456.52,,,,81401428.48,12539603.68,116593973.52,308482384.35,,,,,90376937.07,,,7478529.46,6065403.38,0.0,622938259.94,1546914716.46,32000000.0,,9996745.52,104761693.75,6117252.22,15492092.11,13726800.5,,,9113803.97,,,0.0,191208388.07,20727273,,,,,897837.21,34609103.77,56234213.98,247442602.05,300000000,615631803.67,77979003.14,,,,279504446.2,1272851425.41,26620689.0,-263827.6,0.0,1299472114.41,1546914716.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
