机构ID,机构名称,公告日期,截止日期,报告年度,合并类型,报表来源,货币资金（元）,以公允价值计量且其变动计入当期损益的金融资产,应收票据,应收账款,预付款项,其他应收款,应收关联公司款,应收利息,应收股利,存货,其中：消耗性生物资产,一年内到期的非流动资产,其他流动资产,流动资产合计,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,固定资产,在建工程,工程物资,固定资产清理,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,以公允价值计量且其变动计入当期损益的金融负债,应付票据,应付账款,预收款项,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,应付关联公司款,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款,专项应付款,预计负债,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,实收资本（或股本）,资本公积,盈余公积,专项储备,减：库存股,一般风险准备,未分配利润,归属于母公司所有者权益,少数股东权益,外币报表折算价差,非正常经营项目收益调整,所有者权益（或股东权益）合计,负债和所有者（或股东权益）合计,其他综合收益,递延收益-非流动负债,结算备付金,拆出资金,发放贷款及垫款-流动资产,衍生金融资产,应收保费,应收分保账款,应收分保合同准备金,买入返售金融资产,划分为持有待售的资产,发放贷款及垫款-非流动资产,向中央银行借款,吸收存款及同业存放,拆入资金,衍生金融负债,卖出回购金融资产款,应付手续费及佣金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,划分为持有待售的负债,预计负债-流动负债,递延收益-流动负债,其中：优先股-非流动负债,永续债-非流动负债,长期应付职工薪酬,其他权益工具,其中：优先股-所有者权益,永续债-所有者权益
582,北部湾港,2005-04-27,2005-03-31,2005-03-31,合并本期,定期报告,36003815.55,7500000.0,1600000.0,26095316.74,31630597.5,93937950.82,,,,1247872.67,,,898054.4,198913607.68,,,,11586266.42,,459321510.61,15054293.1,,-258000.0,,,43248176.57,,,4514051.9,,0.0,533466298.6,732379906.28,111000000.0,,8000000.0,1499208.65,1099304.71,2462585.54,24334914.89,,3012066.66,16968471.15,,,1113068.12,169489619.72,63667335.99,,60785953.19,,,,,124453289.18,293942908.9,188471800,263029546.2,24052021.63,,,,-39109612.64,436443755.19,1993242.19,,0.0,438436997.38,732379906.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,北部湾港,2005-07-30,2005-06-30,2005-06-30,合并本期,定期报告,79545193.04,7500000.0,500000.0,25357593.47,458277.71,94192125.61,,,,1387004.6,,,885654.2,209825848.63,,,,11586112.13,,460172973.18,31892806.78,,-258000.0,,,43054826.95,,,4372987.76,,0.0,550821706.8,760647555.43,131000000.0,,,1200681.91,9272476.39,2873214.66,25437743.78,,2894954.0,15233494.49,,,879397.04,188791962.27,64897388.91,,60785953.19,,,,,125683342.1,314475304.37,188471800,263029546.2,24052021.63,,,,-31399923.46,444153444.37,2018806.69,,0.0,446172251.06,760647555.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,北部湾港,2005-10-25,2005-09-30,2005-09-30,合并本期,定期报告,43245413.85,7500000.0,3835800.0,26160060.35,988487.66,136313176.6,,,,873236.55,,,1171134.84,220087309.85,,,,11549030.49,,457350679.31,42259557.87,,-258000.0,,,42853607.62,,,4161391.55,,0.0,557916266.84,778003576.69,151000000.0,,3451000.0,4282074.09,1951003.86,2346080.47,26145684.78,,2894954.0,17680509.13,,,1324494.84,211075801.17,65334943.24,,60785953.19,,,,,126120896.43,337196697.6,188471800,263029546.2,24052021.63,,,,-36849220.38,438704147.45,2102731.64,,0.0,440806879.09,778003576.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,北部湾港,2006-03-30,2005-12-31,2005-12-31,合并本期,定期报告,47591866.66,,1606100.0,21525996.35,4247438.47,116122813.34,,,,1925520.87,,,1173073.01,194192808.7,,,,-84511.07,,476203569.24,24771153.73,,,,,42614474.67,,,3879263.27,,0.0,547383949.84,741576758.54,151000000.0,,3451000.0,5918734.77,599526.71,2777572.26,661013.65,,2894954.0,18063911.14,,,2517713.85,187884426.38,27897388.91,,60785953.19,26435640.3,,,,115118982.4,303003408.78,188471800,263029546.2,24052021.63,,,,-38890257.42,436663110.41,1910239.35,,0.0,438573349.76,741576758.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,北部湾港,2006-04-20,2006-03-31,2006-03-31,合并本期,定期报告,73237768.82,7500000.0,3200000.0,25879901.56,67111093.27,124622854.5,,,117112.66,944893.99,,,1747435.94,304361060.74,,,,-84511.07,,472533330.42,30095494.28,,,,,42263055.99,,,3667667.06,,0.0,548475036.68,852836097.42,195000000.0,,66000000.0,5458108.68,713511.89,1404399.07,547045.71,,3012066.66,22055836.54,,,2630086.75,296821055.3,27897388.91,,60785953.19,27317855.05,,,,116001197.15,412822252.45,188471800,263029546.2,24052021.63,,,,-38311836.9,437241530.93,2772314.04,,0.0,440013844.97,852836097.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,北部湾港,2006-08-25,2006-06-30,2006-06-30,合并本期,定期报告,92250786.97,7500000.0,2560000.0,33956982.37,55373486.79,121703589.95,,,,1727235.83,,,1898614.78,316970696.69,,,,-73614.25,,470450277.58,35507294.87,,,,,42004966.26,,,3456070.85,,0.0,551344995.31,868315692.0,215000000.0,,66000000.0,5079338.06,10309141.01,1652806.04,526639.34,,2894954.0,9443294.82,,,2705243.57,313611416.84,27897388.91,,60785953.19,29090706.22,,,,117774048.32,431385465.16,188471800,263029546.2,24052021.63,,,,-41368102.09,434185265.74,2744961.1,,0.0,436930226.84,868315692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,北部湾港,2006-10-27,2006-09-30,2006-09-30,合并本期,定期报告,47900010.05,40000000.0,3220000.0,39048447.38,24506768.29,127801021.76,,,,1100603.5,,,3352916.03,286929767.01,,,,-73614.25,,464656488.82,41752346.39,,,,,41746876.53,,,3244474.64,,0.0,551326572.13,838256339.14,215000000.0,,30000000.0,6413912.04,11158215.41,2016201.72,800916.05,,2774954.0,9901529.09,,,2209737.01,280275465.32,27897388.91,,60785953.19,30762884.31,,,,119446226.41,399721691.73,188471800,263029546.2,24052021.63,,,,-39772821.04,435780546.79,2754100.62,,0.0,438534647.41,838256339.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,北部湾港,2007-04-30,2006-12-31,2006-12-31,合并本期,定期报告,94970749.65,39200000.0,2381000.0,40534756.24,47143913.06,99277855.99,,,,1918336.32,,,365416.4,325792027.66,,,,-62717.43,,476679713.27,30422638.04,,,,,41580515.14,,,10079166.67,,0.0,558699315.69,884491343.35,270000000.0,,62000000.0,8846479.89,899909.65,2641716.67,1886776.34,,2774954.0,48109704.83,,,1756420.53,398915961.91,27897388.91,,60785953.19,32248905.72,,,,120932247.82,519848209.73,188471800,263029546.2,24052021.63,,,,-113541540.64,362011827.19,2631306.43,,0.0,364643133.62,884491343.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,北部湾港,2007-04-30,2007-03-31,2007-03-31,合并本期,定期报告,112256106.96,,5649560.0,20009605.66,12670493.14,135807437.05,,,,198245.21,,,,286591448.02,,39200000.0,,,,472595652.54,37953185.98,,,,,41346034.54,,,10079166.67,649222.72,,601823262.45,888414710.47,301000000.0,,40000000.0,6837874.51,4379112.16,2470035.57,543522.43,,,51732370.38,,,,406962915.05,27897388.91,,60785953.19,33834136.16,,,,122517478.26,529480393.31,188471800,263029546.2,24052021.63,,,,-119307267.43,356246100.4,2688216.76,,,358934317.16,888414710.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,北部湾港,2007-08-29,2007-06-30,2007-06-30,合并本期,定期报告,37224799.05,,4200000.0,20982742.86,70622926.3,79012896.61,,,,1691516.06,,,,213734880.88,0.0,39200000.0,,,,430128746.01,37232109.74,,104672.42,,,41713736.84,,,9054166.69,330917.2,,557764348.9,771499229.78,278900000.0,0.0,30000000.0,17921754.96,4293284.36,1714884.43,937581.67,,1240254.25,92892485.32,,,,427900244.99,27897388.91,,61735953.19,33725210.73,,32398.72,,123390951.55,551291196.54,142122609,175440393.6,24052021.63,,,,-124047099.98,217567924.25,2640108.99,,,220208033.24,771499229.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
